title,category,secondary_category,type
susu segar,minuman,minuman,pengeluaran
traktiran bailk dari ortu,hadiah,reward,pemasukan
terima kado dari ortu,hadiah,kado,pemasukan
sewa futsal,hiburan,aktivitas,pengeluaran
kontrakan blan lalu,tagihan,sewa,pengeluaran
belanja di giant,belanja,harian,pengeluaran
dimsum pagi tadi,makanan,makanan,pengeluaran
bayar cicilan bulan lalu,tagihan,kredit,pengeluaran
terima tunjangan transport,gaji,bonus,pemasukan
ngopi es bah,minuman,jajanan,pengeluaran
beli minuman cincau,minuman,jajanan,pengeluaran
nasi box di mall,makanan,makanan,pengeluaran
pizza bareng keluarga,makanan,makanan,pengeluaran
beli deteerjen baru,belanja,harian,pengeluaran
bayar insentif ke tokopedia,tagihan,gaji_pihak3,pengeluaran
langgaann billiard,hiburan,streaming,pengeluaran
bayar kredit blun ini,tagihan,kredit,pengeluaran
menerima tunjangan jabatan,gaji,bonus,pemasukan
ngopi taro milk tea,minuman,jajanan,pengeluaran
kimia farma langganan,kesehatan,apotek,pengeluaran
citilink ke surabaya,transport,pesawat,pengeluaran
menang undian kemarin,hadiah,undian,pemasukan
dapat honor,gaji,komisi,pemasukan
paket dta three,tagihan,internet_pulsa,pengeluaran
juara lomba,hadiah,undian,pemasukan
ultra milk,minuman,minuman,pengeluaran
resort sama keluarga,hiburan,liburan,pengeluaran
pesan espresso,minuman,jajanan,pengeluaran
hadiah undain lebaran,hadiah,undian,pemasukan
kasih bonus ke gojek,tagihan,gaji_pihak3,pengeluaran
dapat cashback dari kelaurga,hadiah,reward,pemasukan
bayar uang kost bulan lalu,tagihan,sewa,pengeluaran
obnus kera dari klien,gaji,bonus,pemasukan
gjai bulan lalu,gaji,gaji,pemasukan
bei kado,belanja,harian,pengeluaran
beli pertamax turbo,transport,pribadi,pengeluaran
cicialn bulan ini,tagihan,kredit,pengeluaran
liburan,hiburan,liburan,pengeluaran
belli teh kotak,minuman,jajanan,pengeluaran
bayar angkot,transport,umum,pengeluaran
beli mobile legends,hiburan,game,pengeluaran
bus malam,transport,umum,pengeluaran
ngopi americano,minuman,jajanan,pengeluaran
diterima gaji part time,gaji,gaji,pemasukan
makan pagi kantor,makanan,makanan,pengeluaran
perriksa ke konsul dokter,kesehatan,konsul,pengeluaran
subscribe spofiy,hiburan,streaming,pengeluaran
dominos pizza,makanan,makanan,pengeluaran
konsul caabut gigi,kesehatan,konsul,pengeluaran
shawarma di ruah makan,makanan,makanan,pengeluaran
bayar tagihan listrik,tagihan,utilitas,pengeluaran
ibuproefn langganan,kesehatan,obat,pengeluaran
dapet bonus dari shopee,gaji,bonus,pemasukan
tokopedia,belanja,online_shop,pengeluaran
bayar tagihan air bulan lalu,tagihan,utilitas,pengeluaran
beli obat resep di apotik,kesehatan,apotek,pengeluaran
beli aksesoris hp di blibli,belanja,elektronik,pengeluaran
nasi kuning amlam ini,makanan,makanan,pengeluaran
bayar kredt,tagihan,kredit,pengeluaran
langganan spotify,hiburan,streaming,pengeluaran
masuk insentif shopee,gaji,bonus,pemasukan
beli topi di indomaret,belanja,fashion,pengeluaran
mie goreeng di restoran,makanan,makanan,pengeluaran
masuk honorrarium,gaji,komisi,pemasukan
busway sore,transport,umum,pengeluaran
dikasih duit dari om,hadiah,sumbangan,pemasukan
menang igveaway dari teman,hadiah,undian,pemasukan
sabun blibli,belanja,online_shop,pengeluaran
frappuccino,minuman,jajanan,pengeluaran
beli paracetamol online,kesehatan,obat,pengeluaran
beli headset di bukalapak,belanja,elektronik,pengeluaran
hdiah menang taddi,hadiah,undian,pemasukan
kado pernikahan uang,hadiah,kado,pemasukan
berri gaji karyawan,tagihan,gaji_pihak3,pengeluaran
gajian uang lembur karyawan,tagihan,tagihan,pengeluaran
hadiah ung kemarin,hadiah,hadiah,pemasukan
bayar ciciln,tagihan,kredit,pengeluaran
nonton tiket pertandingan,hiburan,tontonan,pengeluaran
gaji via trnasfer bulan lalu,gaji,gaji,pemasukan
aksih bonus karyawan bulan ini,tagihan,gaji_pihak3,pengeluaran
rendang bareng teman,makanan,makanan,pengeluaran
beli probiotik,kesehatan,obat,pengeluaran
beli tiket lion,transport,pesawat,pengeluaran
bayar token pln,tagihan,utilitas,pengeluaran
pesan susu segar,minuman,minuman,pengeluaran
pulsa indosat,tagihan,internet_pulsa,pengeluaran
plusa indosat,tagihan,internet_pulsa,pengeluaran
gajji magang,gaji,gaji,pemasukan
dapat warisan daari om,hadiah,sumbangan,pemasukan
sewa olhraa,hiburan,aktivitas,pengeluaran
beli isi bensn,transport,pribadi,pengeluaran
booking resort,hiburan,liburan,pengeluaran
belanja di transmart,belanja,harian,pengeluaran
baayr ecg,kesehatan,prosedur,pengeluaran
pean minuman energi,minuman,jajanan,pengeluaran
baayar tagihan,tagihan,tagihan,pengeluaran
subscrribe langganan disney,hiburan,streaming,pengeluaran
karaoke sama tmean,hiburan,aktivitas,pengeluaran
iuuran rw,tagihan,iuran,pengeluaran
dapet bonus shopee,gaji,bonus,pemasukan
hadiah penrikahan,hadiah,kado,pemasukan
hp,belanja,elektronik,pengeluaran
beli susu,minuman,minuman,pengeluaran
penginapan ke bandung,hiburan,liburan,pengeluaran
cashbacck gopay dr saudara,hadiah,reward,pemasukan
bakso urat malam ini,makanan,makanan,pengeluaran
go car tadi,transport,online,pengeluaran
belanja harian,belanja,harian,pengeluaran
wairsan dari tante,hadiah,sumbangan,pemasukan
bayar myepublic tiap bulan,tagihan,internet_pulsa,pengeluaran
tiket konser musik,hiburan,tontonan,pengeluaran
konser sama teman,hiburan,tontonan,pengeluaran
ayam penyet di rumah makan,makanan,makanan,pengeluaran
beli bajigur,minuman,jajanan,pengeluaran
terima komsii proyek agen,gaji,komisi,pemasukan
ke akraoke,hiburan,aktivitas,pengeluaran
thr bulan lalu,gaji,bonus,pemasukan
bakso,makanan,makanan,pengeluaran
order ayam pennyet,makanan,makanan,pengeluaran
buku lazada,belanja,online_shop,pengeluaran
makan bihun goreng pagi tadi,makanan,makanan,pengeluaran
lontong sayur bareng teman,makanan,makanan,pengeluaran
menerima gaji part time,gaji,gaji,pemasukan
bpjs kesehatan tiap bulan,tagihan,asuransi,pengeluaran
lembur ciar,gaji,komisi,pemasukan
tseak bareng teman,makanan,makanan,pengeluaran
dikasih dut dr keluarga,hadiah,sumbangan,pemasukan
order kentang goreng,makanan,makanan,pengeluaran
bayar iuran rw bulanan,tagihan,iuran,pengeluaran
beli nonton film,hiburan,tontonan,pengeluaran
blei makanan ayam penyet,makanan,makanan,pengeluaran
bayar iuran sampah tiap bulan,tagihan,iuran,pengeluaran
paracetamol,kesehatan,obat,pengeluaran
rewrd aplikasi dari teeman,hadiah,reward,pemasukan
pesan makan sate padang di restoran,makanan,makanan,pengeluaran
pesan minuman lemon tea,minuman,jajanan,pengeluaran
pecel lele bareng keluarga,makanan,makanan,pengeluaran
belanja harian di pasar,belanja,harian,pengeluaran
pesan koopi susu,minuman,jajanan,pengeluaran
milk tea,minuman,jajanan,pengeluaran
guardian langganan,kesehatan,apotek,pengeluaran
renanng mingguan,hiburan,aktivitas,pengeluaran
bayar klinik,kesehatan,konsul,pengeluaran
terima honor dari klien,gaji,komisi,pemasukan
berri upah tukang,tagihan,gaji_pihak3,pengeluaran
hadiah uang drai tante,hadiah,hadiah,pemasukan
meenang giveaway dari keluarga,hadiah,undian,pemasukan
dapat honor dari starbucks,gaji,komisi,pemasukan
bayar ke bos fee,tagihan,gaji_pihak3,pengeluaran
wahana sama teman,hiburan,liburan,pengeluaran
es kpoi susu,minuman,jajanan,pengeluaran
pocari sweat,minuman,minuman,pengeluaran
transfer ke tomoro honor,tagihan,gaji_pihak3,pengeluaran
langganan disney plus,hiburan,streaming,pengeluaran
kirim upah tukang tiap bulan,tagihan,gaji_pihak3,pengeluaran
biaya dokter gigi,kesehatan,konsul,pengeluaran
kfc ayam,makanan,makanan,pengeluaran
kasih komisi penjualan ke klien,tagihan,gaji_pihak3,pengeluaran
dapat uang saku daari teman,hadiah,sumbangan,pemasukan
menang undian lebran,hadiah,undian,pemasukan
belanja kosmetik,belanja,kecantikan,pengeluaran
bayar stroom listrik bulan lalu,tagihan,utilitas,pengeluaran
watson langganan,kesehatan,apotek,pengeluaran
pesan air minneral,minuman,minuman,pengeluaran
bayar kos bulan lalu,tagihan,sewa,pengeluaran
tiket lrt ke rumah sakit,transport,umum,pengeluaran
pesan minuman es cendol,minuman,jajanan,pengeluaran
abyar pln tiap bulan,tagihan,utilitas,pengeluaran
ngisi bensn mobil,transport,pribadi,pengeluaran
dapat sumbangan tak terduga,hadiah,sumbangan,pemasukan
pesan mnman cincau,minuman,jajanan,pengeluaran
beri honor narasumber,tagihan,gaji_pihak3,pengeluaran
bayar kiink,kesehatan,konsul,pengeluaran
paracetamol rutin,kesehatan,obat,pengeluaran
beli hand santiizer online,kesehatan,obat,pengeluaran
pesan mie goreng di kantin,makanan,makanan,pengeluaran
bayar go ride,transport,online,pengeluaran
beli susu segar,minuman,minuman,pengeluaran
beli isi pertamax,transport,pribadi,pengeluaran
penghasilan,gaji,gaji,pemasukan
beli cinema,hiburan,tontonan,pengeluaran
tiket lion ke medan,transport,pesawat,pengeluaran
earphone,belanja,elektronik,pengeluaran
dapat komisi proyek atasan,gaji,komisi,pemasukan
pesan rendang,makanan,makanan,pengeluaran
bayyar penginapan,hiburan,liburan,pengeluaran
geprek bensu di food court,makanan,makanan,pengeluaran
ngopi susu,minuman,jajanan,pengeluaran
mkn di bakso,makanan,makanan,pengeluaran
makan soto ayam,makanan,makanan,pengeluaran
diterima insentif,gaji,bonus,pemasukan
geprek bensu di kantin,makanan,makanan,pengeluaran
terima kado dari om,hadiah,kado,pemasukan
bayar cicillan bulan ini,tagihan,kredit,pengeluaran
oat milk latte panas,minuman,jajanan,pengeluaran
dapat tip dari teman,hadiah,reward,pemasukan
bayar indihome bulan lalu,tagihan,internet_pulsa,pengeluaran
daapat akdo kemarrin,hadiah,kado,pemasukan
pesan makan gorengan di rumah makan,makanan,jajanan,pengeluaran
ayam goreng bareng teman,makanan,makanan,pengeluaran
pesan pempek,makanan,jajanan,pengeluaran
masuk lembur,gaji,komisi,pemasukan
perpanjang langganan disney,hiburan,streaming,pengeluaran
kasih komisi agen cash,tagihan,gaji_pihak3,pengeluaran
kirim gaji buruh,tagihan,gaji_pihak3,pengeluaran
makan di nasi box,makanan,makanan,pengeluaran
adpat thr kemarin,hadiah,hadiah,pemasukan
kebun binatang,hiburan,liburan,pengeluaran
juara lomba lebaran,hadiah,undian,pemasukan
tiket garuda ke makassar,transport,pesawat,pengeluaran
kasih komisi ke mitra,tagihan,gaji_pihak3,pengeluaran
beli oximeter,kesehatan,obat,pengeluaran
belli paket data xl,tagihan,internet_pulsa,pengeluaran
cienma rame-rame,hiburan,tontonan,pengeluaran
myrepublic tiap bulan,tagihan,internet_pulsa,pengeluaran
kelaa muda di warkop,minuman,minuman,pengeluaran
unng dari orang tua,hadiah,hadiah,pemasukan
bayar first media taip bulan,tagihan,internet_pulsa,pengeluaran
pesan brown sugar boba,minuman,jajanan,pengeluaran
tunjangan kinerja,gaji,bonus,pemasukan
subscribe langganan spotify,hiburan,streaming,pengeluaran
supermarket,belanja,harian,pengeluaran
minuman energi,minuman,jajanan,pengeluaran
warung makan,makanan,makanan,pengeluaran
bayar resort,hiburan,liburan,pengeluaran
beli ayam geprek,makanan,makanan,pengeluaran
es teh manis sambil nugas,minuman,jajanan,pengeluaran
tip pellanggan keamrin,hadiah,reward,pemasukan
komisi penjualan caair,gaji,komisi,pemasukan
teh tarik,minuman,jajanan,pengeluaran
belanja sepatu,belanja,fashion,pengeluaran
wetv,hiburan,streaming,pengeluaran
beli obat batuk di apoik,kesehatan,obat,pengeluaran
terima bonus dari tomoro,gaji,bonus,pemasukan
beli celana baru,belanja,fashion,pengeluaran
bayar dokter,kesehatan,konsul,pengeluaran
dapat gaji dari klien,gaji,gaji,pemasukan
byr commuter line,transport,umum,pengeluaran
tip pelangggan ulang tahun,hadiah,reward,pemasukan
kredit,tagihan,kredit,pengeluaran
minum air kelapa,minuman,minuman,pengeluaran
fish n chips pagi tadi,makanan,makanan,pengeluaran
biaya tambal gigi,kesehatan,prosedur,pengeluaran
biaya vaksinasi,kesehatan,prosedur,pengeluaran
beli perlengkapan,belanja,harian,pengeluaran
gaji lembur dari perusahaan,gaji,komisi,pemasukan
beeli xxi,hiburan,tontonan,pengeluaran
subscribe disney plus,hiburan,streaming,pengeluaran
makan pagi di rumah makan,makanan,makanan,pengeluaran
keipting malam ini,makanan,makanan,pengeluaran
isi pkaet adta xl,tagihan,internet_pulsa,pengeluaran
gaji mgaang dari kantor,gaji,gaji,pemasukan
skincare shpoee,belanja,elektronik,pengeluaran
dapat gaji dari proyek,gaji,gaji,pemasukan
tiket nonn bioskop,hiburan,tontonan,pengeluaran
bonus tahunaan bulan lalu,gaji,bonus,pemasukan
dappat thr,gaji,bonus,pemasukan
dapet komisi atasan,gaji,komisi,pemasukan
kirim gaji asisten tiap bln,tagihan,gaji_pihak3,pengeluaran
ebli aksesoris hp di amll,belanja,elektronik,pengeluaran
transfer ke gaji asisten,tagihan,gaji_pihak3,pengeluaran
dapat rezeki dari ortu,hadiah,sumbangan,pemasukan
beli joy tea,minuman,jajanan,pengeluaran
main billiard,hiburan,aktivitas,pengeluaran
beli obat resep di paotik,kesehatan,apotek,pengeluaran
top up steam bulanan,hiburan,game,pengeluaran
gado-gado di food court,makanan,makanan,pengeluaran
transfer ke gaji tukang,tagihan,gaji_pihak3,pengeluaran
beli parcaetamol online,kesehatan,obat,pengeluaran
masuk gaji freelance,gaji,gaji,pemasukan
upah bulanan,gaji,gaji,pemasukan
bayar tagihan wifi,tagihan,internet_pulsa,pengeluaran
langganan deezer bulanan,hiburan,streaming,pengeluaran
bayar kreedit bulan ini,tagihan,kredit,pengeluaran
bayar lngganan disney,hiburan,streaming,pengeluaran
bayar ke perusahaan bayaran,tagihan,tagihan,pengeluaran
kopi hitam apgi,minuman,jajanan,pengeluaran
sate ayam di restoran,makanan,makanan,pengeluaran
rewad palikasi dari teman,hadiah,reward,pemasukan
poin rewarrd,hadiah,reward,pemasukan
dapat bayaran starbucks,gaji,gaji,pemasukan
masuk insentif dari kantor,gaji,bonus,pemasukan
hadiah poin tak terduuga,hadiah,reward,pemasukan
dapet komisi proyek sttarbucks,gaji,komisi,pemasukan
transfer komisi sales,tagihan,gaji_pihak3,pengeluaran
bayar angsuran bulan lalu,tagihan,kredit,pengeluaran
beli ibuprofen di apotik,kesehatan,apotek,pengeluaran
minum teh tarik,minuman,jajanan,pengeluaran
suplemen rutin,kesehatan,obat,pengeluaran
order gado-gado,makanan,makanan,pengeluaran
penghasilan bulanan bln ini,gaji,gaji,pemasukan
beli alat tulis di supermarket,belanja,harian,pengeluaran
biaya check up,kesehatan,prosedur,pengeluaran
beli di teguk,minuman,jajanan,pengeluaran
beli nonnton film,hiburan,tontonan,pengeluaran
bayar pdam bulanan,tagihan,utilitas,pengeluaran
hp lazada,belanja,elektronik,pengeluaran
kasih insentif atasan,tagihan,gaji_pihak3,pengeluaran
bayar bppjs,tagihan,asuransi,pengeluaran
sudah terima tunjangan kinerja,gaji,bonus,pemasukan
hadiah giveawaay dari om,hadiah,undian,pemasukan
perpanjang apple music,hiburan,streaming,pengeluaran
periksa dental,kesehatan,konsul,pengeluaran
nerima bonus dai mitra,gaji,bonus,pemasukan
beli minuman energi,minuman,jajanan,pengeluaran
haddiah undian dari teman,hadiah,undian,pemasukan
transfer komisi penjualan starbucks,tagihan,gaji_pihak3,pengeluaran
beli obat resep di kiia farma,kesehatan,apotek,pengeluaran
kereta api tiap hari,transport,umum,pengeluaran
guarddian tiap bulan,kesehatan,apotek,pengeluaran
pizza di warteg,makanan,makanan,pengeluaran
ngopi di teguk,minuman,jajanan,pengeluaran
beli bioskop,hiburan,tontonan,pengeluaran
xxi akhir pekan,hiburan,tontonan,pengeluaran
beli pakaian di shopee,belanja,fashion,pengeluaran
beli skincare,belanja,kecantikan,pengeluaran
masuk gaji dari proyek,gaji,gaji,pemasukan
dikasih duit dr temman,hadiah,sumbangan,pemasukan
nasi goreng,makanan,makanan,pengeluaran
perpanjang youtube premium,hiburan,hiburan,pengeluaran
tiiket konser musik,hiburan,tontonan,pengeluaran
iuan keamanan tiap bulan,tagihan,iuran,pengeluaran
beli baju brau,belanja,fashion,pengeluaran
nasi padang pagi tadi,makanan,makanan,pengeluaran
beli tiket sriwijaya,transport,pesawat,pengeluaran
tiket kebun binatang,hiburan,liburan,pengeluaran
tunjangan makan drai bos,gaji,bonus,pemasukan
beli minuman soda,minuman,jajanan,pengeluaran
baju tokopedia,belanja,fashion,pengeluaran
kdo uang dari saudara,hadiah,kado,pemasukan
indosat,tagihan,internet_pulsa,pengeluaran
bakmi di kantor,makanan,makanan,pengeluaran
cashback,hadiah,reward,pemasukan
transfer bonus tim,tagihan,gaji_pihak3,pengeluaran
bayar rawat inap,kesehatan,prosedur,pengeluaran
hadiah undian dari keluarga,hadiah,undian,pemasukan
pecel lele,makanan,makanan,pengeluaran
order ayam kremes,makanan,makanan,pengeluaran
beli laptop di indomaret,belanja,elektronik,pengeluaran
valornt blanan,hiburan,game,pengeluaran
tambal ban,transport,pribadi,pengeluaran
dapat insentif goejk,gaji,bonus,pemasukan
bakso urat di kantin,makanan,makanan,pengeluaran
dapat upah lembur,gaji,komisi,pemasukan
belanja family mart,belanja,harian,pengeluaran
naik krl ke bengkel,transport,umum,pengeluaran
panjat tebing mingguan,hiburan,aktivitas,pengeluaran
sumbangan dari keluarga,hadiah,sumbangan,pemasukan
jaket,belanja,fashion,pengeluaran
shawarma pagi tadi,makanan,makanan,pengeluaran
nerima fee dari vendor,gaji,komisi,pemasukan
beli ayam kremes,makanan,makanan,pengeluaran
reward dari om,hadiah,reward,pemasukan
blei makanan tempe goreng,makanan,jajanan,pengeluaran
beli makanan rwon,makanan,makanan,pengeluaran
beli sabun mandi,belanja,kecantikan,pengeluaran
kiriman orang tua,hadiah,sumbangan,pemasukan
minyak ikan langagnan,kesehatan,obat,pengeluaran
paket data telkkomsel,tagihan,internet_pulsa,pengeluaran
jajan sop iga di food corut,makanan,makanan,pengeluaran
beli elektronik,belanja,elektronik,pengeluaran
dapat duit drai tante,hadiah,sumbangan,pemasukan
hadiah undian lebaran,hadiah,undian,pemasukan
uang saku dari sadara,hadiah,sumbangan,pemasukan
doorprize uang taahun,hadiah,undian,pemasukan
bayar disney+,hiburan,streaming,pengeluaran
fish n chips bareng teman,makanan,makanan,pengeluaran
charger lazada,belanja,elektronik,pengeluaran
kontrakan bulan lalu,tagihan,sewa,pengeluaran
nonton flm rame-rame,hiburan,tontonan,pengeluaran
sesi fisiotterapi,kesehatan,prosedur,pengeluaran
dikirimi aung dr tate,hadiah,sumbangan,pemasukan
nasi bakar di restoran,makanan,makanan,pengeluaran
bayar laangganan netflix,hiburan,streaming,pengeluaran
tagihan air bulan llu,tagihan,utilitas,pengeluaran
trima kado darri ortu,hadiah,kado,pemasukan
gaji ke-13,gaji,gaji,pemasukan
mkn pagi di food court,makanan,makanan,pengeluaran
perpanjang iqii,hiburan,streaming,pengeluaran
bayar fee ke grab,tagihan,gaji_pihak3,pengeluaran
bonus kerja,gaji,bonus,pemasukan
batagor siang tadi,makanan,jajanan,pengeluaran
sate kambinng,makanan,makanan,pengeluaran
bayar komisi ke tomoro,tagihan,gaji_pihak3,pengeluaran
belanja tripod,belanja,elektronik,pengeluaran
mcdonald,makanan,makanan,pengeluaran
sanndal blibli,belanja,fashion,pengeluaran
mie ayam bareng keluarga,makanan,makanan,pengeluaran
probiotik,kesehatan,obat,pengeluaran
sudah terima gaji pokok,gaji,gaji,pemasukan
bayar kos bulanan,tagihan,sewa,pengeluaran
minum kopi utbruk,minuman,jajanan,pengeluaran
jus mangga di cafe,minuman,jajanan,pengeluaran
xing fu tang,minuman,jajanan,pengeluaran
beli makanan gulai,makanan,makanan,pengeluaran
naik argo bromo ke terminal,transport,umum,pengeluaran
minum teh hijau,minuman,jajanan,pengeluaran
kaos blilbi,belanja,fashion,pengeluaran
dapet bayaran dari kantor,gaji,gaji,pemasukan
rendang,makanan,makanan,pengeluaran
mouse,belanja,elektronik,pengeluaran
pendapatan sudah cair,gaji,gaji,pemasukan
transfer ke bonus karyawan,tagihan,gaji_pihak3,pengeluaran
gaji mingguan via transfer,gaji,gaji,pemasukan
token listrik bulan ini,tagihan,utilitas,pengeluaran
dapat warisan ulang taahun,hadiah,sumbangan,pemasukan
gaji lembur bulan ini,gaji,komisi,pemasukan
dapat duit dari teman,hadiah,sumbangan,pemasukan
angsuran bulanan,tagihan,kredit,pengeluaran
beli es cendol,minuman,jajanan,pengeluaran
jajan sego bareng keluarga,makanan,makanan,pengeluaran
warisan,hadiah,sumbangan,pemasukan
hadih doorprize kemarin,hadiah,undian,pemasukan
obba buat kerja,minuman,jajanan,pengeluaran
beli parfum di lazada,belanja,fashion,pengeluaran
makan pagi malam ini,makanan,makanan,pengeluaran
hadiaah lomba dari ortu,hadiah,undian,pemasukan
stroom listrik tiap bulan,tagihan,utilitas,pengeluaran
beli oat milk latte,minuman,jajanan,pengeluaran
sewa lapangan,hiburan,aktivitas,pengeluaran
beli masker medis di guardian,kesehatan,apotek,pengeluaran
beli mnman yakult,minuman,minuman,pengeluaran
beli top up diamond,hiburan,game,pengeluaran
ngasih komisi makelar,tagihan,gaji_pihak3,pengeluaran
brown sugar,minuman,jajanan,pengeluaran
terima fee dari shopee,gaji,komisi,pemasukan
bayar asuransi jwa,tagihan,asuransi,pengeluaran
minyak ikan,kesehatan,obat,pengeluaran
beli steak di rumah makan,makanan,makanan,pengeluaran
beli paket data telkomel,tagihan,internet_pulsa,pengeluaran
bahan bakar,transport,pribadi,pengeluaran
goride tadi,transport,online,pengeluaran
beli es kopi susu,minuman,jajanan,pengeluaran
indriver pp,transport,online,pengeluaran
terima kdao daari keluarga,hadiah,kado,pemasukan
nerima insentif dari gojek,gaji,bonus,pemasukan
tunjangan kinerja dari kantor,gaji,bonus,pemasukan
beli pulsa by.u,tagihan,internet_pulsa,pengeluaran
order teh botol,minuman,jajanan,pengeluaran
income bulan ini,gaji,gaji,pemasukan
perpaanjang netflix,hiburan,streaming,pengeluaran
kirim fee ke klien,tagihan,gaji_pihak3,pengeluaran
biaya tes darah,kesehatan,prosedur,pengeluaran
cicilan motor tiap bulan,tagihan,kredit,pengeluaran
tiket nonton pertandingan,hiburan,tontonan,pengeluaran
bayar mrt,transport,umum,pengeluaran
dikash uang tak terduga,hadiah,sumbangan,pemasukan
bayar bpjs kesehatan tiap bulan,tagihan,asuransi,pengeluaran
masuk gaji cair,gaji,gaji,pemasukan
medical check up,kesehatan,prosedur,pengeluaran
ebli apotek di apotik,kesehatan,apotek,pengeluaran
nonton biosop weekend,hiburan,tontonan,pengeluaran
membayar gaji tukang cash,tagihan,gaji_pihak3,pengeluaran
byr ke grab honor,tagihan,tagihan,pengeluaran
bayar thr asisten,tagihan,tagihan,pengeluaran
menerima gaji bulanan,gaji,gaji,pemasukan
dikirimi uang dari ortu,hadiah,sumbangan,pemasukan
kirim bonus ke atasan,tagihan,gaji_pihak3,pengeluaran
dapet fee tomoro,gaji,komisi,pemasukan
nerima insentif dari grab,gaji,bonus,pemasukan
nerima insentif dr gojek,gaji,bonus,pemasukan
belanja peralatan rumah,belanja,harian,pengeluaran
dapet bonus perusahaan,gaji,bonus,pemasukan
beli perrban,kesehatan,obat,pengeluaran
naik mobil,transport,transport,pengeluaran
pesaan makan nasi bakar,makanan,makanan,pengeluaran
kereta cepat ke mall,transport,umum,pengeluaran
beli kemeja di blibli,belanja,fashion,pengeluaran
top up tkoen bulanan,hiburan,game,pengeluaran
beli jaket di supermarket,belanja,fashion,pengeluaran
asuransi kesehatan,tagihan,asuransi,pengeluaran
citilink ke bali,transport,pesawat,pengeluaran
kasih komisi ke agen,tagihan,gaji_pihak3,pengeluaran
pesan ayam penyet,makanan,makanan,pengeluaran
bayyar kos bulan lalu,tagihan,sewa,pengeluaran
dapat duit dari saudara,hadiah,sumbangan,pemasukan
