title,category,type
doorprize dari teman,hadiah,pemasukan
fried chicken di kantin,makanan,pengeluaran
pesan online,makanan,pengeluaran
tiket mrt ke bandara,transport,pengeluaran
pesan matcha,minuman,pengeluaran
telkomsel,tagihan,pengeluaran
byr medical check up,kesehatan,pengeluaran
biaya laboratorium,kesehatan,pengeluaran
beli peralatan dapur di alfamart,belanja,pengeluaran
busway sore,transport,pengeluaran
juara lomba,hadiah,pemasukan
bayaran kerja via transfer,gaji,pemasukan
ebli cinemaxx,hiburan,pengeluaran
taksi ke bengkel,transport,pengeluaran
renang,hiburan,pengeluaran
asuransi jiwa bulan lalu,tagihan,pengeluaran
hesaet blibli,belanja,pengeluaran
sampo,belanja,pengeluaran
langganan netfix,hiburan,pengeluaran
kamera shopee,belanja,pengeluaran
paket thee,tagihan,pengeluaran
pizza di kantin,makanan,pengeluaran
ayam bakar di warteg,makanan,pengeluaran
sesi fisioterapi,kesehatan,pengeluaran
sewa rumah blanan,tagihan,pengeluaran
joy tea,minuman,pengeluaran
tujnangan cair,gaji,pemasukan
beli makanan gado-gado,makanan,pengeluaran
mkn ketupat,makanan,pengeluaran
angsuran bulan lalu,tagihan,pengeluaran
cashback gopaay dri tante,hadiah,pemasukan
bayar rnnotgen,kesehatan,pengeluaran
juara lomba dari teman,hadiah,pemasukan
subscribe hbo go,hiburan,pengeluaran
bayar konrakan,tagihan,pengeluaran
beli di sederhana,makanan,pengeluaran
kemeja blilbi,belanja,pengeluaran
tiket museum,hiburan,pengeluaran
bensu,minuman,pengeluaran
beli genshin impact,hiburan,pengeluaran
langganan disney plus,hiburan,pengeluaran
aung maagang dari perusahaan,gaji,pemasukan
beli mnuman boba,minuman,pengeluaran
minum espresso,minuman,pengeluaran
pesan minuman jus mangga,minuman,pengeluaran
kopi sambil nugas,minuman,pengeluaran
beli coca cola,minuman,pengeluaran
pesan makan ketupat,makanan,pengeluaran
nasi goreng pagi tadi,makanan,pengeluaran
pizza malam ini,makanan,pengeluaran
nasi campur bareng teman,makanan,pengeluaran
nonton konesr musik,hiburan,pengeluaran
biaya badmminton,hiburan,pengeluaran
skincare bukalapak,belanja,pengeluaran
pecel ayam paagi tadi,makanan,pengeluaran
jajan ayam penyet,makanan,pengeluaran
maxim mootr ke stasiun,transport,pengeluaran
makan warung padang,makanan,pengeluaran
byr vidio,hiburan,pengeluaran
gaji bulan ini bulan lalu,gaji,pemasukan
naik maxim ke terminal,transport,pengeluaran
perawatan,belanja,pengeluaran
honorarium via transfer,gaji,pemasukan
dapat thr drai keluarga,hadiah,pemasukan
daapt transferan dari om,hadiah,pemasukan
indomie di kantor,makanan,pengeluaran
dokter,kesehatan,pengeluaran
burger di warteg,makanan,pengeluaran
iuran keamanan bulan laalu,tagihan,pengeluaran
bioskop,hiburan,pengeluaran
gaji pegawai,gaji,pemasukan
ngopi di kopi soe,minuman,pengeluaran
ngopi teh botol,minuman,pengeluaran
jajan sushi,makanan,pengeluaran
langganan internet bulanan,tagihan,pengeluaran
perpanjang langganan spotify,hiburan,pengeluaran
jajan ayam geprek,makanan,pengeluaran
gaji mingguan blan lalu,gaji,pemasukan
olahraga mingguan,hiburan,pengeluaran
beli mainan di mall,belanja,pengeluaran
mian bowling,hiburan,pengeluaran
bayaran bulan lalu,gaji,pemasukan
bayar gojek,transport,pengeluaran
beli sabun di indomaret,belanja,pengeluaran
income sudah cair,gaji,pemasukan
bakso pagi tadi,makanan,pengeluaran
perpanjang prime video,hiburan,pengeluaran
cicilan mobil,tagihan,pengeluaran
obat batuk taip bulan,kesehatan,pengeluaran
rezeki nomlok dari om,hadiah,pemasukan
tagihan air bulanan,tagihan,pengeluaran
ngopi kopi hitam,minuman,pengeluaran
isi pertamax motor,transport,pengeluaran
watson langganan,kesehatan,pengeluaran
makan di nasi padang,makanan,pengeluaran
belanja deterjen,belanja,pengeluaran
pln tiap bulan,tagihan,pengeluaran
bayar first media taip bulan,tagihan,pengeluaran
top up ml ublanan,hiburan,pengeluaran
bayar tagihan internet bluan lalu,tagihan,pengeluaran
peesan gojek ke kampus,transport,pengeluaran
mkn di yoshinoya,makanan,pengeluaran
naik maxim motor ke stasiun,transport,pengeluaran
tip pelangan ulang tahun,hadiah,pemasukan
beli fish n chips,makanan,pengeluaran
dikasih duit dri keluarga,hadiah,pemasukan
isi paekt data,tagihan,pengeluaran
iuran smpah tiap ublan,tagihan,pengeluaran
uang warisan dai keluarga,hadiah,pemasukan
honor proyek,gaji,pemasukan
batagor di restoran,makanan,pengeluaran
beelanja peralatan rumah,belanja,pengeluaran
uang kos,tagihan,pengeluaran
bonus kerja dari klien,gaji,pemasukan
subscribe netflix,hiburan,pengeluaran
sewa bowling,hiburan,pengeluaran
minyak ikan tiap bulan,kesehatan,pengeluaran
naik transjakarta ke terminal,transport,pengeluaran
tiket cinema,hiburan,pengeluaran
okmisi dari kantor,gaji,pemasukan
isi bensin,transport,pengeluaran
beli vitamin c di apotik,kesehatan,pengeluaran
goride ke mall,transport,pengeluaran
beli kaos di uspermarket,belanja,pengeluaran
bayar wifi bluanan,tagihan,pengeluaran
busway ke bengkel,transport,pengeluaran
dufan ke bai,hiburan,pengeluaran
tiket lion ke makassar,transport,pengeluaran
dikirimi uang,hadiah,pemasukan
bakmi di amll,makanan,pengeluaran
tiket xxi sama teman,hiburan,pengeluaran
pesan sop iga,makanan,pengeluaran
beli pulsa,tagihan,pengeluaran
beli kapas,kesehatan,pengeluaran
gaji ke rekening,gaji,pemasukan
trima hadiah,hadiah,pemasukan
biaya check up,kesehatan,pengeluaran
naik bajaj ke rumah sakit,transport,pengeluaran
isi ngisi bensin,transport,pengeluaran
bayar iuran keamanan,tagihan,pengeluaran
fried chicken bareng teman,makanan,pengeluaran
terima hadiah dr keluarga,hadiah,pemasukan
batik air ke jakarta,transport,pengeluaran
langganan viu bulanan,hiburan,pengeluaran
tiket bus barusan,transport,pengeluaran
ke biaya rumah sakit,kesehatan,pengeluaran
belanja di carrefour,belanja,pengeluaran
xing fu tang,minuman,pengeluaran
medical check up,kesehatan,pengeluaran
bayar air tiap bulan,tagihan,pengeluaran
byr bpjs mandiri,tagihan,pengeluaran
langganan straeming,hiburan,pengeluaran
tiket garuda,transport,pengeluaran
ektupat di rumah makan,makanan,pengeluaran
trima hadiah dr keluarga,hadiah,pemasukan
mrt ke kantor,transport,pengeluaran
bayar kartu kredit bulan ini,tagihan,pengeluaran
periksa ke konsulltasi dokter,kesehatan,pengeluaran
hadiah uang dari ortu,hadiah,pemasukan
ancol samma teman,hiburan,pengeluaran
ketupat di kantin,makanan,pengeluaran
inncome adri proyek,gaji,pemasukan
bajaj tiap hari,transport,pengeluaran
gaji lembr,gaji,pemasukan
beli alkohol di guardian,kesehatan,pengeluaran
latte di cafe,minuman,pengeluaran
pesan minuman susu,minuman,pengeluaran
bayar pln bulanan,tagihan,pengeluaran
indomie di rumah makan,makanan,pengeluaran
komisi penjualan dari perusahaan,gaji,pemasukan
gaji freelnace daari kantor,gaji,pemasukan
isi pulsa trhee,tagihan,pengeluaran
naik kereta api,transport,pengeluaran
isotonic,minuman,pengeluaran
cincau sore tadi,minuman,pengeluaran
isi koota,tagihan,pengeluaran
gajji masuuk,gaji,pemasukan
cashbaack dr keularga,hadiah,pemasukan
kebun binatang,hiburan,pengeluaran
dapat duit dari om,hadiah,pemasukan
honorarium dari klien,gaji,pemasukan
uang lembur via transer,gaji,pemasukan
cashback shopee lebaran,hadiah,pemasukan
internet tiap bulan,tagihan,pengeluaran
gaji peertama dari perusahaan,gaji,pemasukan
kripik,makanan,pengeluaran
cashback dari om,hadiah,pemasukan
beli alat tulis baru,belanja,pengeluaran
belanja parfum,belanja,pengeluaran
pulsa three,tagihan,pengeluaran
perpanjang hbo go,hiburan,pengeluaran
beli peralatan dapur di blibli,belanja,pengeluaran
makan mie gacoan di warteg,makanan,pengeluaran
isi bensin motor,transport,pengeluaran
perpanjang langganaan spotify,hiburan,pengeluaran
naik mrt ke rumah sakit,transport,pengeluaran
hibah tak terdugga,hadiah,pemasukan
hadiah dr tante,hadiah,pemasukan
casshback gopay atdi,hadiah,pemasukan
sriwijaya ke jakarta,transport,pengeluaran
bakso urat pagi tadi,makanan,pengeluaran
sewa lapangan,hiburan,pengeluaran
yakult,minuman,pengeluaran
gaji part time bulan ini,gaji,pemasukan
slip gaji sudah cair,gaji,pemasukan
dapat tip tak etrduga,hadiah,pemasukan
charger lazada,belanja,pengeluaran
income dari perusahaan,gaji,pemasukan
pesn sarapan,makanan,pengeluaran
naik krl ke bengkel,transport,pengeluaran
bayar indihome bulanan,tagihan,pengeluaran
naik goride ke bandara,transport,pengeluaran
traveling sama keluarga,hiburan,pengeluaran
uang maagng cair,gaji,pemasukan
kwetiau,makanan,pengeluaran
bayar grab bike,transport,pengeluaran
beli nasi kuning,makanan,pengeluaran
biaya terapi,kesehatan,pengeluaran
kebab di restoran,makanan,pengeluaran
delivery makanan,makanan,pengeluaran
taro milk tea dingin,minuman,pengeluaran
laptop,belanja,pengeluaran
tongseng bareng teman,makanan,pengeluaran
beli pulsa by.u,tagihan,pengeluaran
food delivery,makanan,pengeluaran
taksi malam,transport,pengeluaran
beli obat flu,kesehatan,pengeluaran
topi,belanja,pengeluaran
beli boat batuk,kesehatan,pengeluaran
bayar vaksin,kesehatan,pengeluaran
hadiah lebaran,hadiah,pemasukan
pesan mie rebus,makanan,pengeluaran
tiket pertandingan rame-rame,hiburan,pengeluaran
renanng mingguan,hiburan,pengeluaran
pean grab ke stasiun,transport,pengeluaran
konsul scaling,kesehatan,pengeluaran
upah ekrja dri bos,gaji,pemasukan
sarapan,makanan,pengeluaran
katering,makanan,pengeluaran
sepatu shopee,belanja,pengeluaran
pcr,kesehatan,pengeluaran
isi paket data indosat,tagihan,pengeluaran
biaya rawat innap,kesehatan,pengeluaran
commuter line bolak balik,transport,pengeluaran
gaji sudah cair,gaji,pemasukan
menang undian dari om,hadiah,pemasukan
gaji masuk sudah cair,gaji,pemasukan
beli burger,makanan,pengeluaran
perlatan rumah,belanja,pengeluaran
hadiah pernikahan,hadiah,pemasukan
bayar assuransi bulan ini,tagihan,pengeluaran
tiket cgv bareng keluarga,hiburan,pengeluaran
grocery di supermarket,belanja,pengeluaran
beli mainan di bilbli,belanja,pengeluaran
nonton konser muik,hiburan,pengeluaran
fee freelance dari klien,gaji,pemasukan
beli peralatan rumah di mall,belanja,pengeluaran
warisan dari ortu,hadiah,pemasukan
pertamax motor,transport,pengeluaran
asuransi keeshatan,tagihan,pengeluaran
dapat uang saku,hadiah,pemasukan
slay dr poyek,gaji,pemasukan
penghasilan bualnan bulan ini,gaji,pemasukan
es doger buat kerja,minuman,pengeluaran
konsul biaya dokter,kesehatan,pengeluaran
sabun,belanja,pengeluaran
es jeruk sambil nugas,minuman,pengeluaran
indomaret snack,makanan,pengeluaran
byr indriver,transport,pengeluaran
jajan nasi box di kantin,makanan,pengeluaran
beli ayam kremes,makanan,pengeluaran
internet bulan llau,tagihan,pengeluaran
dapat agji via transfer,gaji,pemasukan
mie rebus bareng keluarga,makanan,pengeluaran
bayar kredit buln ini,tagihan,pengeluaran
tseak bareng teman,makanan,pengeluaran
makan sarapan,makanan,pengeluaran
resep rutin,kesehatan,pengeluaran
honor kerja bulan ini,gaji,pemasukan
gorengan di restoran,makanan,pengeluaran
cumi,makanan,pengeluaran
cicialn bulan ini,tagihan,pengeluaran
pesan minuman susu segar,minuman,pengeluaran
maxim ke kantor,transport,pengeluaran
beli minuman oat milk latte,minuman,pengeluaran
kopi soe,minuman,pengeluaran
nasi bakar di warteg,makanan,pengeluaran
thr dari otru,hadiah,pemasukan
ngopi yakult,minuman,pengeluaran
token pln,tagihan,pengeluaran
martabak telur sinag tadi,makanan,pengeluaran
konsultasi cabt gigi,kesehatan,pengeluaran
dominos pizza,makanan,pengeluaran
beli valorant,hiburan,pengeluaran
menantea,minuman,pengeluaran
siomay di kantor,makanan,pengeluaran
gaji tetap,gaji,pemasukan
gajji masuk,gaji,pemasukan
fee freelance ke rekening,gaji,pemasukan
income dari proyek,gaji,pemasukan
belanja di family mart,belanja,pengeluaran
lalapan siang tadi,makanan,pengeluaran
gaji magaang bulan ini,gaji,pemasukan
cashback lebaran,hadiah,pemasukan
tip pelanggan kmearin,hadiah,pemasukan
beli paket internet,tagihan,pengeluaran
daapt erzeki lebaran,hadiah,pemasukan
beli ikan di supermarkket,belanja,pengeluaran
dapat doorprize dr om,hadiah,pemasukan
warsan dari ortu,hadiah,pemasukan
bayar bpjs bulanan,tagihan,pengeluaran
makan di nasi box,makanan,pengeluaran
pesan kopi tubruk,minuman,pengeluaran
langganan iqiyi bulanan,hiburan,pengeluaran
pesan makan sate kambing,makanan,pengeluaran
commuter line ke mll,transport,pengeluaran
beli teh manis,minuman,pengeluaran
milk tea janji jiwa,minuman,pengeluaran
belanja tas,belanja,pengeluaran
bonus kinerja dri proyek,gaji,pemasukan
gaji pegaawi,gaji,pemasukan
beli apotik di guardian,kesehatan,pengeluaran
sanndal blibli,belanja,pengeluaran
rendang di kantin,makanan,pengeluaran
beli sepatu di indomaret,belanja,pengeluaran
upah lembur,gaji,pemasukan
dikirrimi uang ulang thun,hadiah,pemasukan
garuda ke surabaya,transport,pengeluaran
bealnja bulanan di pasar,belanja,pengeluaran
kereta api tiap hari,transport,pengeluaran
makeup blibli,belanja,pengeluaran
commuter line,transport,pengeluaran
haiah uang,hadiah,pemasukan
valorant bulanan,hiburan,pengeluaran
opor ayam di foood court,makanan,pengeluaran
oat milk latte xing fu tang,minuman,pengeluaran
jajan fried chicken,makanan,pengeluaran
daapt erzeki learan,hadiah,pemasukan
traveling sama teman,hiburan,pengeluaran
tiket lrt,transport,pengeluaran
bayar token pln,tagihan,pengeluaran
penghasilan cair,gaji,pemasukan
lalapan di rumah makan,makanan,pengeluaran
liburan ke bali,hiburan,pengeluaran
gaji pertama,gaji,pemasukan
tongseng di mall,makanan,pengeluaran
pesan minuman lemon tea,minuman,pengeluaran
beli betadine di apotek,kesehatan,pengeluaran
roti,makanan,pengeluaran
pulsa xl,tagihan,pengeluaran
smoothie less sugar,minuman,pengeluaran
dapat tip,hadiah,pemasukan
kelapa muda sore tadi,minuman,pengeluaran
kontrakan bulan ini,tagihan,pengeluaran
ebli aptek di apotik,kesehatan,pengeluaran
kopi kenngan,minuman,pengeluaran
naik maxim motor ke kampus,transport,pengeluaran
cold brew less sugar,minuman,pengeluaran
kuota three,tagihan,pengeluaran
pelita air ke medan,transport,pengeluaran
beli tripod di supermarket,belanja,pengeluaran
dapat duit lebaran,hadiah,pemasukan
traveloka hotel,hiburan,pengeluaran
teh tarik di cafe,minuman,pengeluaran
tahu goreng siang tadi,makanan,pengeluaran
bayar wifi,tagihan,pengeluaran
beli apotek di apotek,kesehatan,pengeluaran
beli tripod baaru,belanja,pengeluaran
grab bike ke rumah sakit,transport,pengeluaran
mnman soda,minuman,pengeluaran
sewa futsal,hiburan,pengeluaran
bayaran frelance ke rekening,gaji,pemasukan
beli teh tarik,minuman,pengeluaran
bajaj pulang,transport,pengeluaran
makan di ayam penyet malam ini,makanan,pengeluaran
beli minuman es kelapa,minuman,pengeluaran
bonus kreja ke rekening,gaji,pemasukan
rejeki ulang tahun,hadiah,pemasukan
biaya periksa dkter,kesehatan,pengeluaran
bayr uang kos,tagihan,pengeluaran
beli aksesoris hp di mall,belanja,pengeluaran
langgannan sewa sepeda,hiburan,pengeluaran
naik bus ke bengkel,transport,pengeluaran
top up ml,hiburan,pengeluaran
es jeruk sore tadi,minuman,pengeluaran
belanja idnomaret,belanja,pengeluaran
ketoprak bareng teman,makanan,pengeluaran
beli di fore coffee,minuman,pengeluaran
pesan gojek tadi,transport,pengeluaran
naik maxim ke gym,transport,pengeluaran
sewa kamar,tagihan,pengeluaran
upah harian dari klien,gaji,pemasukan
liburan bali,hiburan,pengeluaran
gji ke 13,gaji,pemasukan
beli bahan pokok,belanja,pengeluaran
order es doger,minuman,pengeluaran
pket data by.u,tagihan,pengeluaran
beli buku baru,belanja,pengeluaran
uang lembur bulan lalu,gaji,pemasukan
beli sate padnag di food court,makanan,pengeluaran
naik bajaj ke bengkel,transport,pengeluaran
naik commuter line ke terminal,transport,pengeluaran
gaji ke-13 bulan lalu,gaji,pemasukan
pdam bulanan,tagihan,pengeluaran
beli oximeter,kesehatan,pengeluaran
paracetamol rutin,kesehatan,pengeluaran
dapat warisan,hadiah,pemasukan
tagihaan internet,tagihan,pengeluaran
kamera bukalapak,belanja,pengeluaran
bayar bpjs kesehatan bulan lalu,tagihan,pengeluaran
iuran sampah tiap bulan,tagihan,pengeluaran
beli paket data telkomsel,tagihan,pengeluaran
lontong sayur bareng teman,makanan,pengeluaran
sarapan bareng teman,makanan,pengeluaran
staycation sama keluarga,hiburan,pengeluaran
gaji pertama dari proyek,gaji,pemasukan
beli tas di blibli,belanja,pengeluaran
mie gacoan di kantin,makanan,pengeluaran
terima kado,hadiah,pemasukan
minum minuman energi,minuman,pengeluaran
sushi di mall,makanan,pengeluaran
beli alat tulis di supermarket,belanja,pengeluaran
breakfast,makanan,pengeluaran
pesan burger,makanan,pengeluaran
beli tiket flight,transport,pengeluaran
keyboard bukaalpak,belanja,pengeluaran
badminon mingguan,hiburan,pengeluaran
beli aksesoris hp,belanja,pengeluaran
naik whoosh ke mall,transport,pengeluaran
naik ojek online ke rumah sakit,transport,pengeluaran
taro milk tea pagi,minuman,pengeluaran
kereta cepat,transport,pengeluaran
minum latte,minuman,pengeluaran
kiriman saudara,hadiah,pemasukan
hp tokopedia,belanja,pengeluaran
apotik,kesehatan,pengeluaran
pesan teh manis,minuman,pengeluaran
tikeet nontn bioskop,hiburan,pengeluaran
pesan minuman bubble tea,minuman,pengeluaran
iuan keamanan tiap bulan,tagihan,pengeluaran
pesan mnman teh hijau,minuman,pengeluaran
beli mouse di bukalapak,belanja,pengeluaran
main sewa seepeda,hiburan,pengeluaran
siomay bareng teman,makanan,pengeluaran
beli masker,kesehatan,pengeluaran
tunjangan kinerja dari kantor,gaji,pemasukan
kirmman saudara,hadiah,pemasukan
indriver ke bengkel,transport,pengeluaran
belanja sabun,belanja,pengeluaran
pempek di rumah makan,makanan,pengeluaran
kosmetik blibli,belanja,pengeluaran
gai masuuk via transfer,gaji,pemasukan
nik maxim ke stasiun,transport,pengeluaran
byr tes darah,kesehatan,pengeluaran
beli kamera di supermarket,belanja,pengeluaran
kereta cepat ke kampus,transport,pengeluaran
penginapan,hiburan,pengeluaran
tiket cgv bareng keluarrga,hiburan,pengeluaran
bayyaran freelance,gaji,pemasukan
kimia farma urtin,kesehatan,pengeluaran
bayar kas rt bulan lalu,tagihan,pengeluaran
massuk gaji dari perusaahan,gaji,pemasukan
grab motor ke rumah,transport,pengeluaran
gaji ke 13,gaji,pemasukan
beli bensn motor,transport,pengeluaran
hadiah giveaway adri tante,hadiah,pemasukan
villa sama temn,hiburan,pengeluaran
belanja bulanan di pasar,belanja,pengeluaran
hadiah giveawway ulang tauhn,hadiah,pemasukan
bakso urat,makanan,pengeluaran
jalan-jalan sama teman,hiburan,pengeluaran
haddiah menang dari ortu,hadiah,pemasukan
booking hotel ke bandung,hiburan,pengeluaran
liburan ke jogja,hiburan,pengeluaran
vitamin d langganan,kesehatan,pengeluaran
beli kopi tubruk,minuman,pengeluaran
naik inndriver ke mall,transport,pengeluaran
ebli bahan bakar,transport,pengeluaran
paket dta there,tagihan,pengeluaran
bioskop sama pacar,hiburan,pengeluaran
angpao lebaarn,hadiah,pemasukan
beli keyboard baru,belanja,pengeluaran
matcha kulo,minuman,pengeluaran
order gado-gado,makanan,pengeluaran
burger pagi tadi,makanan,pengeluaran
dapat sumangan adrri keeluraga,hadiah,pemasukan
beli ibuprofen di century,kesehatan,pengeluaran
karaoke sama pacar,hiburan,pengeluaran
pesan makan malam di food court,makanan,pengeluaran
langganan billiard,hiburan,pengeluaran
mie yang,minuman,pengeluaran
sbscribe lngganan spotify,hiburan,pengeluaran
pesan brown sugar boba,minuman,pengeluaran
dapat sumbaangan darri teman,hadiah,pemasukan
perpanjang streming,hiburan,pengeluaran
langganan vidio,hiburan,pengeluaran
kfc ayam,makanan,pengeluaran
minyaak ikan tip bulan,kesehatan,pengeluaran
skincare shopee,belanja,pengeluaran
makan di cumi goreng di warteg,makanan,pengeluaran
order nasi bakar,makanan,pengeluaran
belanja tripod,belanja,pengeluaran
mainan,belanja,pengeluaran
epsan minuman bandrek,minuman,pengeluaran
sewa olhraga,hiburan,pengeluaran
aksesoris hp blibli,belanja,pengeluaran
beli makeup di bliblli,belanja,pengeluaran
beli pakaaian di alfamart,belanja,pengeluaran
whosoh tadi,transport,pengeluaran
grab,transport,pengeluaran
pesan grab ke rumah,transport,pengeluaran
tikeet kereta ke gym,transport,pengeluaran
poin reward,hadiah,pemasukan
minuman boba,minuman,pengeluaran
nonton rame-rame,hiburan,pengeluaran
beli tissue di pasar,belanja,pengeluaran
fee daari proyek,gaji,pemasukan
tunjangan jabatan bulan lalu,gaji,pemasukan
biaya lkinik,kesehatan,pengeluaran
biaya yoga,hiburan,pengeluaran
steak di food court,makanan,pengeluaran
bayar penginapan,hiburan,pengeluaran
tiket bioskop weekend,hiburan,pengeluaran
tiket cgv weekend,hiburan,pengeluaran
bus trans barusan,transport,pengeluaran
rezeki nomplok,hadiah,pemasukan
jalan ke mall,hiburan,pengeluaran
beli batagor di katin,makanan,pengeluaran
gaji pokok dari proyek,gaji,pemasukan
pesan minuman americano,minuman,pengeluaran
isi kuota,tagihan,pengeluaran
tiket masuk ke bali,hiburan,pengeluaran
honorarium dr klien,gaji,pemasukan
langganan hbo go,hiburan,pengeluaran
pesan miinuman americano,minuman,pengeluaran
konsul psikolog,kesehatan,pengeluaran
jus jeruk sambil nugas,minuman,pengeluaran
gaji masuk sudah car,gaji,pemasukan
jajan seafood,makanan,pengeluaran
valont bulanan,hiburan,pengeluaran
gaji dari perusahaan,gaji,pemasukan
beli sepatu di supermarket,belanja,pengeluaran
naik go car ke rumah sakit,transport,pengeluaran
go car tadi,transport,pengeluaran
beli topi di indomaert,belanja,pengeluaran
ngopi teh manis,minuman,pengeluaran
beli kemeja di alfamart,belanja,pengeluaran
beeli century di aoptik,kesehatan,pengeluaran
beeli xxi,hiburan,pengeluaran
traansferan keluarga,hadiah,pemasukan
minum thai tea,minuman,pengeluaran
subscribe wetv,hiburan,pengeluaran
bus ke bengkel,transport,pengeluaran
fee dari perusahaan,gaji,pemasukan
hadaih givway dr tante,hadiah,pemasukan
belanja di family amt,belanja,pengeluaran
gaji pokok dari perusahaan,gaji,pemasukan
starbucks,minuman,pengeluaran
makan delivery,makanan,pengeluaran
pempek di restoran,makanan,pengeluaran
air mineral take away,minuman,pengeluaran
kiia farma langganan,kesehatan,pengeluaran
sriwijaya ke medan,transport,pengeluaran
minum teh tarik,minuman,pengeluaran
pesan bubble tea,minuman,pengeluaran
upah kerja dri bos,gaji,pemasukan
beli bensin,transport,pengeluaran
booking hotel ke bali,hiburan,pengeluaran
pesan makan sate padang,makanan,pengeluaran
batagor di warteg,makanan,pengeluaran
dikasih udit dari tante,hadiah,pemasukan
maxim car malam,transport,pengeluaran
esccape room mingguan,hiburan,pengeluaran
hadiah doorprize lebaran,hadiah,pemasukan
beli apotek,kesehatan,pengeluaran
rejeki tak terduga,hadiah,pemasukan
gaji ke-13 bulan llau,gaji,pemasukan
tiket cgv weeeknd,hiburan,pengeluaran
mkn kentang goreng,makanan,pengeluaran
pesan makan pecel ayam,makanan,pengeluaran
bayar spooring,transport,pengeluaran
belanja kosmetik,belanja,pengeluaran
daapat cashback ulang tahun,hadiah,pemasukan
konser musik,hiburan,pengeluaran
bayar parkir motor,transport,pengeluaran
konsul periksa dokter,kesehatan,pengeluaran
beli thai tea,minuman,pengeluaran
bayar bus,transport,pengeluaran
beli skincare di supermarket,belanja,pengeluaran
kelapa muda goola,minuman,pengeluaran
transfer gaji,gaji,pemasukan
beli sate padang di food court,makanan,pengeluaran
beli mouse di mall,belanja,pengeluaran
beli resep di aptoek,kesehatan,pengeluaran
bonus kinerja bulan lalu,gaji,pemasukan
dapat sumbangan lebaran,hadiah,pemasukan
tunjangan transport,gaji,pemasukan
bonus kinerja via transfer,gaji,pemasukan
gong cha,minuman,pengeluaran
gaji ke 13 dari perusahaan,gaji,pemasukan
token pln tiap bulan,tagihan,pengeluaran
beli sabun mandi di supermarket,belanja,pengeluaran
hadiah dari saudra,hadiah,pemasukan
dapat warisan kemairn,hadiah,pemasukan
langganan olahraga,hiburan,pengeluaran
mkn sate kambing,makanan,pengeluaran
jus jeruk di kantor,minuman,pengeluaran
top up token,hiburan,pengeluaran
ebli aksesoris hp di blibli,belanja,pengeluaran
konsultasi dokkter,kesehatan,pengeluaran
jadwal pcr,kesehatan,pengeluaran
ngopi cappuccino,minuman,pengeluaran
langganan deeezr,hiburan,pengeluaran
air kelapa sambil nugas,minuman,pengeluaran
gaji kontrak adri perusahaan,gaji,pemasukan
krl ke pasar,transport,pengeluaran
pin reward ekmarin,hadiah,pemasukan
pizza di rumah makan,makanan,pengeluaran
belanja sayr,belanja,pengeluaran
nonton tiket pertandingan,hiburan,pengeluaran
menang givewaay dari ortu,hadiah,pemasukan
jus alpukat di cafe,minuman,pengeluaran
thr dari proyek,gaji,pemasukan
makan mcdonald,makanan,pengeluaran
naik ojek online,transport,pengeluaran
dapat thr,hadiah,pemasukan
kereta api ke gym,transport,pengeluaran
