title,category,type
kontrakan blan lalu,tagihan,pengeluaran
belanja di giant,belanja,pengeluaran
dimsum pagi tadi,makanan,pengeluaran
bayar cicilan bulan lalu,tagihan,pengeluaran
terima tunjangan transport,gaji,pemasukan
ngopi es bah,minuman,pengeluaran
beli minuman cincau,minuman,pengeluaran
nasi box di mall,makanan,pengeluaran
pizza bareng keluarga,makanan,pengeluaran
beli deteerjen baru,belanja,pengeluaran
bayar insentif ke tokopedia,tagihan,pengeluaran
langgaann billiard,hiburan,pengeluaran
bayar kredit blun ini,tagihan,pengeluaran
menerima tunjangan jabatan,gaji,pemasukan
ngopi taro milk tea,minuman,pengeluaran
kimia farma langganan,kesehatan,pengeluaran
citilink ke surabaya,transport,pengeluaran
menang undian kemarin,hadiah,pemasukan
dapat honor,gaji,pemasukan
paket dta three,tagihan,pengeluaran
juara lomba,hadiah,pemasukan
ultra milk,minuman,pengeluaran
resort sama keluarga,hiburan,pengeluaran
pesan espresso,minuman,pengeluaran
hadiah undain lebaran,hadiah,pemasukan
kasih bonus ke gojek,tagihan,pengeluaran
dapat cashback dari kelaurga,hadiah,pemasukan
bayar uang kost bulan lalu,tagihan,pengeluaran
obnus kera dari klien,gaji,pemasukan
gjai bulan lalu,gaji,pemasukan
bei kado,belanja,pengeluaran
beli pertamax turbo,transport,pengeluaran
cicialn bulan ini,tagihan,pengeluaran
liburan,hiburan,pengeluaran
belli teh kotak,minuman,pengeluaran
bayar angkot,transport,pengeluaran
beli mobile legends,hiburan,pengeluaran
bus malam,transport,pengeluaran
ngopi americano,minuman,pengeluaran
diterima gaji part time,gaji,pemasukan
makan pagi kantor,makanan,pengeluaran
perriksa ke konsul dokter,kesehatan,pengeluaran
subscribe spofiy,hiburan,pengeluaran
dominos pizza,makanan,pengeluaran
konsul caabut gigi,kesehatan,pengeluaran
shawarma di ruah makan,makanan,pengeluaran
bayar tagihan listrik,tagihan,pengeluaran
ibuproefn langganan,kesehatan,pengeluaran
dapet bonus dari shopee,gaji,pemasukan
tokopedia,belanja,pengeluaran
bayar tagihan air bulan lalu,tagihan,pengeluaran
beli obat resep di apotik,kesehatan,pengeluaran
beli aksesoris hp di blibli,belanja,pengeluaran
nasi kuning amlam ini,makanan,pengeluaran
bayar kredt,tagihan,pengeluaran
langganan spotify,hiburan,pengeluaran
masuk insentif shopee,gaji,pemasukan
beli topi di indomaret,belanja,pengeluaran
mie goreeng di restoran,makanan,pengeluaran
masuk honorrarium,gaji,pemasukan
busway sore,transport,pengeluaran
dikasih duit dari om,hadiah,pemasukan
menang igveaway dari teman,hadiah,pemasukan
sabun blibli,belanja,pengeluaran
frappuccino,minuman,pengeluaran
beli paracetamol online,kesehatan,pengeluaran
beli headset di bukalapak,belanja,pengeluaran
hdiah menang taddi,hadiah,pemasukan
kado pernikahan uang,hadiah,pemasukan
berri gaji karyawan,tagihan,pengeluaran
gajian uang lembur karyawan,tagihan,pengeluaran
hadiah ung kemarin,hadiah,pemasukan
bayar ciciln,tagihan,pengeluaran
nonton tiket pertandingan,hiburan,pengeluaran
gaji via trnasfer bulan lalu,gaji,pemasukan
aksih bonus karyawan bulan ini,tagihan,pengeluaran
rendang bareng teman,makanan,pengeluaran
beli probiotik,kesehatan,pengeluaran
beli tiket lion,transport,pengeluaran
bayar token pln,tagihan,pengeluaran
pesan susu segar,minuman,pengeluaran
pulsa indosat,tagihan,pengeluaran
plusa indosat,tagihan,pengeluaran
gajji magang,gaji,pemasukan
dapat warisan daari om,hadiah,pemasukan
sewa olhraa,hiburan,pengeluaran
beli isi bensn,transport,pengeluaran
booking resort,hiburan,pengeluaran
belanja di transmart,belanja,pengeluaran
baayr ecg,kesehatan,pengeluaran
pean minuman energi,minuman,pengeluaran
baayar tagihan,tagihan,pengeluaran
subscrribe langganan disney,hiburan,pengeluaran
karaoke sama tmean,hiburan,pengeluaran
iuuran rw,tagihan,pengeluaran
dapet bonus shopee,gaji,pemasukan
hadiah penrikahan,hadiah,pemasukan
hp,belanja,pengeluaran
beli susu,minuman,pengeluaran
penginapan ke bandung,hiburan,pengeluaran
cashbacck gopay dr saudara,hadiah,pemasukan
bakso urat malam ini,makanan,pengeluaran
go car tadi,transport,pengeluaran
belanja harian,belanja,pengeluaran
wairsan dari tante,hadiah,pemasukan
bayar myepublic tiap bulan,tagihan,pengeluaran
tiket konser musik,hiburan,pengeluaran
konser sama teman,hiburan,pengeluaran
ayam penyet di rumah makan,makanan,pengeluaran
beli bajigur,minuman,pengeluaran
terima komsii proyek agen,gaji,pemasukan
ke akraoke,hiburan,pengeluaran
thr bulan lalu,gaji,pemasukan
bakso,makanan,pengeluaran
order ayam pennyet,makanan,pengeluaran
buku lazada,belanja,pengeluaran
makan bihun goreng pagi tadi,makanan,pengeluaran
lontong sayur bareng teman,makanan,pengeluaran
menerima gaji part time,gaji,pemasukan
bpjs kesehatan tiap bulan,tagihan,pengeluaran
lembur ciar,gaji,pemasukan
tseak bareng teman,makanan,pengeluaran
dikasih dut dr keluarga,hadiah,pemasukan
order kentang goreng,makanan,pengeluaran
bayar iuran rw bulanan,tagihan,pengeluaran
beli nonton film,hiburan,pengeluaran
blei makanan ayam penyet,makanan,pengeluaran
bayar iuran sampah tiap bulan,tagihan,pengeluaran
paracetamol,kesehatan,pengeluaran
rewrd aplikasi dari teeman,hadiah,pemasukan
pesan makan sate padang di restoran,makanan,pengeluaran
pesan minuman lemon tea,minuman,pengeluaran
pecel lele bareng keluarga,makanan,pengeluaran
belanja harian di pasar,belanja,pengeluaran
pesan koopi susu,minuman,pengeluaran
milk tea,minuman,pengeluaran
guardian langganan,kesehatan,pengeluaran
renanng mingguan,hiburan,pengeluaran
bayar klinik,kesehatan,pengeluaran
terima honor dari klien,gaji,pemasukan
berri upah tukang,tagihan,pengeluaran
hadiah uang drai tante,hadiah,pemasukan
meenang giveaway dari keluarga,hadiah,pemasukan
dapat honor dari starbucks,gaji,pemasukan
bayar ke bos fee,tagihan,pengeluaran
wahana sama teman,hiburan,pengeluaran
es kpoi susu,minuman,pengeluaran
pocari sweat,minuman,pengeluaran
transfer ke tomoro honor,tagihan,pengeluaran
langganan disney plus,hiburan,pengeluaran
kirim upah tukang tiap bulan,tagihan,pengeluaran
biaya dokter gigi,kesehatan,pengeluaran
kfc ayam,makanan,pengeluaran
kasih komisi penjualan ke klien,tagihan,pengeluaran
dapat uang saku daari teman,hadiah,pemasukan
menang undian lebran,hadiah,pemasukan
belanja kosmetik,belanja,pengeluaran
bayar stroom listrik bulan lalu,tagihan,pengeluaran
watson langganan,kesehatan,pengeluaran
pesan air minneral,minuman,pengeluaran
bayar kos bulan lalu,tagihan,pengeluaran
tiket lrt ke rumah sakit,transport,pengeluaran
pesan minuman es cendol,minuman,pengeluaran
abyar pln tiap bulan,tagihan,pengeluaran
ngisi bensn mobil,transport,pengeluaran
dapat sumbangan tak terduga,hadiah,pemasukan
pesan mnman cincau,minuman,pengeluaran
beri honor narasumber,tagihan,pengeluaran
bayar kiink,kesehatan,pengeluaran
paracetamol rutin,kesehatan,pengeluaran
beli hand santiizer online,kesehatan,pengeluaran
pesan mie goreng di kantin,makanan,pengeluaran
bayar go ride,transport,pengeluaran
beli susu segar,minuman,pengeluaran
beli isi pertamax,transport,pengeluaran
penghasilan,gaji,pemasukan
beli cinema,hiburan,pengeluaran
tiket lion ke medan,transport,pengeluaran
earphone,belanja,pengeluaran
dapat komisi proyek atasan,gaji,pemasukan
pesan rendang,makanan,pengeluaran
bayyar penginapan,hiburan,pengeluaran
geprek bensu di food court,makanan,pengeluaran
ngopi susu,minuman,pengeluaran
mkn di bakso,makanan,pengeluaran
makan soto ayam,makanan,pengeluaran
diterima insentif,gaji,pemasukan
geprek bensu di kantin,makanan,pengeluaran
terima kado dari om,hadiah,pemasukan
bayar cicillan bulan ini,tagihan,pengeluaran
oat milk latte panas,minuman,pengeluaran
dapat tip dari teman,hadiah,pemasukan
bayar indihome bulan lalu,tagihan,pengeluaran
daapat akdo kemarrin,hadiah,pemasukan
pesan makan gorengan di rumah makan,makanan,pengeluaran
ayam goreng bareng teman,makanan,pengeluaran
pesan pempek,makanan,pengeluaran
masuk lembur,gaji,pemasukan
perpanjang langganan disney,hiburan,pengeluaran
kasih komisi agen cash,tagihan,pengeluaran
kirim gaji buruh,tagihan,pengeluaran
makan di nasi box,makanan,pengeluaran
adpat thr kemarin,hadiah,pemasukan
kebun binatang,hiburan,pengeluaran
juara lomba lebaran,hadiah,pemasukan
tiket garuda ke makassar,transport,pengeluaran
kasih komisi ke mitra,tagihan,pengeluaran
beli oximeter,kesehatan,pengeluaran
belli paket data xl,tagihan,pengeluaran
cienma rame-rame,hiburan,pengeluaran
myrepublic tiap bulan,tagihan,pengeluaran
kelaa muda di warkop,minuman,pengeluaran
unng dari orang tua,hadiah,pemasukan
bayar first media taip bulan,tagihan,pengeluaran
pesan brown sugar boba,minuman,pengeluaran
tunjangan kinerja,gaji,pemasukan
subscribe langganan spotify,hiburan,pengeluaran
supermarket,belanja,pengeluaran
minuman energi,minuman,pengeluaran
warung makan,makanan,pengeluaran
bayar resort,hiburan,pengeluaran
beli ayam geprek,makanan,pengeluaran
es teh manis sambil nugas,minuman,pengeluaran
tip pellanggan keamrin,hadiah,pemasukan
komisi penjualan caair,gaji,pemasukan
teh tarik,minuman,pengeluaran
belanja sepatu,belanja,pengeluaran
wetv,hiburan,pengeluaran
beli obat batuk di apoik,kesehatan,pengeluaran
terima bonus dari tomoro,gaji,pemasukan
beli celana baru,belanja,pengeluaran
bayar dokter,kesehatan,pengeluaran
dapat gaji dari klien,gaji,pemasukan
byr commuter line,transport,pengeluaran
tip pelangggan ulang tahun,hadiah,pemasukan
kredit,tagihan,pengeluaran
minum air kelapa,minuman,pengeluaran
fish n chips pagi tadi,makanan,pengeluaran
biaya tambal gigi,kesehatan,pengeluaran
biaya vaksinasi,kesehatan,pengeluaran
beli perlengkapan,belanja,pengeluaran
gaji lembur dari perusahaan,gaji,pemasukan
beeli xxi,hiburan,pengeluaran
subscribe disney plus,hiburan,pengeluaran
makan pagi di rumah makan,makanan,pengeluaran
keipting malam ini,makanan,pengeluaran
isi pkaet adta xl,tagihan,pengeluaran
gaji mgaang dari kantor,gaji,pemasukan
skincare shpoee,belanja,pengeluaran
dapat gaji dari proyek,gaji,pemasukan
tiket nonn bioskop,hiburan,pengeluaran
bonus tahunaan bulan lalu,gaji,pemasukan
dappat thr,gaji,pemasukan
dapet komisi atasan,gaji,pemasukan
kirim gaji asisten tiap bln,tagihan,pengeluaran
ebli aksesoris hp di amll,belanja,pengeluaran
transfer ke gaji asisten,tagihan,pengeluaran
dapat rezeki dari ortu,hadiah,pemasukan
beli joy tea,minuman,pengeluaran
main billiard,hiburan,pengeluaran
beli obat resep di paotik,kesehatan,pengeluaran
top up steam bulanan,hiburan,pengeluaran
gado-gado di food court,makanan,pengeluaran
transfer ke gaji tukang,tagihan,pengeluaran
beli parcaetamol online,kesehatan,pengeluaran
masuk gaji freelance,gaji,pemasukan
upah bulanan,gaji,pemasukan
bayar tagihan wifi,tagihan,pengeluaran
langganan deezer bulanan,hiburan,pengeluaran
bayar kreedit bulan ini,tagihan,pengeluaran
bayar lngganan disney,hiburan,pengeluaran
bayar ke perusahaan bayaran,tagihan,pengeluaran
kopi hitam apgi,minuman,pengeluaran
sate ayam di restoran,makanan,pengeluaran
rewad palikasi dari teman,hadiah,pemasukan
poin rewarrd,hadiah,pemasukan
dapat bayaran starbucks,gaji,pemasukan
masuk insentif dari kantor,gaji,pemasukan
hadiah poin tak terduuga,hadiah,pemasukan
dapet komisi proyek sttarbucks,gaji,pemasukan
transfer komisi sales,tagihan,pengeluaran
bayar angsuran bulan lalu,tagihan,pengeluaran
beli ibuprofen di apotik,kesehatan,pengeluaran
minum teh tarik,minuman,pengeluaran
suplemen rutin,kesehatan,pengeluaran
order gado-gado,makanan,pengeluaran
penghasilan bulanan bln ini,gaji,pemasukan
beli alat tulis di supermarket,belanja,pengeluaran
biaya check up,kesehatan,pengeluaran
beli di teguk,minuman,pengeluaran
beli nonnton film,hiburan,pengeluaran
bayar pdam bulanan,tagihan,pengeluaran
hp lazada,belanja,pengeluaran
kasih insentif atasan,tagihan,pengeluaran
bayar bppjs,tagihan,pengeluaran
sudah terima tunjangan kinerja,gaji,pemasukan
hadiah giveawaay dari om,hadiah,pemasukan
perpanjang apple music,hiburan,pengeluaran
periksa dental,kesehatan,pengeluaran
nerima bonus dai mitra,gaji,pemasukan
beli minuman energi,minuman,pengeluaran
haddiah undian dari teman,hadiah,pemasukan
transfer komisi penjualan starbucks,tagihan,pengeluaran
beli obat resep di kiia farma,kesehatan,pengeluaran
kereta api tiap hari,transport,pengeluaran
guarddian tiap bulan,kesehatan,pengeluaran
pizza di warteg,makanan,pengeluaran
ngopi di teguk,minuman,pengeluaran
beli bioskop,hiburan,pengeluaran
xxi akhir pekan,hiburan,pengeluaran
beli pakaian di shopee,belanja,pengeluaran
beli skincare,belanja,pengeluaran
masuk gaji dari proyek,gaji,pemasukan
dikasih duit dr temman,hadiah,pemasukan
nasi goreng,makanan,pengeluaran
perpanjang youtube premium,hiburan,pengeluaran
tiiket konser musik,hiburan,pengeluaran
iuan keamanan tiap bulan,tagihan,pengeluaran
beli baju brau,belanja,pengeluaran
nasi padang pagi tadi,makanan,pengeluaran
beli tiket sriwijaya,transport,pengeluaran
tiket kebun binatang,hiburan,pengeluaran
tunjangan makan drai bos,gaji,pemasukan
beli minuman soda,minuman,pengeluaran
baju tokopedia,belanja,pengeluaran
kdo uang dari saudara,hadiah,pemasukan
indosat,tagihan,pengeluaran
bakmi di kantor,makanan,pengeluaran
cashback,hadiah,pemasukan
transfer bonus tim,tagihan,pengeluaran
bayar rawat inap,kesehatan,pengeluaran
hadiah undian dari keluarga,hadiah,pemasukan
pecel lele,makanan,pengeluaran
order ayam kremes,makanan,pengeluaran
beli laptop di indomaret,belanja,pengeluaran
valornt blanan,hiburan,pengeluaran
tambal ban,transport,pengeluaran
dapat insentif goejk,gaji,pemasukan
bakso urat di kantin,makanan,pengeluaran
dapat upah lembur,gaji,pemasukan
belanja family mart,belanja,pengeluaran
naik krl ke bengkel,transport,pengeluaran
panjat tebing mingguan,hiburan,pengeluaran
sumbangan dari keluarga,hadiah,pemasukan
jaket,belanja,pengeluaran
shawarma pagi tadi,makanan,pengeluaran
nerima fee dari vendor,gaji,pemasukan
beli ayam kremes,makanan,pengeluaran
reward dari om,hadiah,pemasukan
blei makanan tempe goreng,makanan,pengeluaran
beli makanan rwon,makanan,pengeluaran
beli sabun mandi,belanja,pengeluaran
kiriman orang tua,hadiah,pemasukan
minyak ikan langagnan,kesehatan,pengeluaran
paket data telkkomsel,tagihan,pengeluaran
jajan sop iga di food corut,makanan,pengeluaran
beli elektronik,belanja,pengeluaran
dapat duit drai tante,hadiah,pemasukan
hadiah undian lebaran,hadiah,pemasukan
uang saku dari sadara,hadiah,pemasukan
doorprize uang taahun,hadiah,pemasukan
bayar disney+,hiburan,pengeluaran
fish n chips bareng teman,makanan,pengeluaran
charger lazada,belanja,pengeluaran
kontrakan bulan lalu,tagihan,pengeluaran
nonton flm rame-rame,hiburan,pengeluaran
sesi fisiotterapi,kesehatan,pengeluaran
dikirimi aung dr tate,hadiah,pemasukan
nasi bakar di restoran,makanan,pengeluaran
bayar laangganan netflix,hiburan,pengeluaran
tagihan air bulan llu,tagihan,pengeluaran
trima kado darri ortu,hadiah,pemasukan
gaji ke-13,gaji,pemasukan
mkn pagi di food court,makanan,pengeluaran
perpanjang iqii,hiburan,pengeluaran
bayar fee ke grab,tagihan,pengeluaran
bonus kerja,gaji,pemasukan
batagor siang tadi,makanan,pengeluaran
sate kambinng,makanan,pengeluaran
bayar komisi ke tomoro,tagihan,pengeluaran
belanja tripod,belanja,pengeluaran
mcdonald,makanan,pengeluaran
sanndal blibli,belanja,pengeluaran
mie ayam bareng keluarga,makanan,pengeluaran
probiotik,kesehatan,pengeluaran
sudah terima gaji pokok,gaji,pemasukan
bayar kos bulanan,tagihan,pengeluaran
minum kopi utbruk,minuman,pengeluaran
jus mangga di cafe,minuman,pengeluaran
xing fu tang,minuman,pengeluaran
beli makanan gulai,makanan,pengeluaran
naik argo bromo ke terminal,transport,pengeluaran
minum teh hijau,minuman,pengeluaran
kaos blilbi,belanja,pengeluaran
dapet bayaran dari kantor,gaji,pemasukan
rendang,makanan,pengeluaran
mouse,belanja,pengeluaran
pendapatan sudah cair,gaji,pemasukan
transfer ke bonus karyawan,tagihan,pengeluaran
gaji mingguan via transfer,gaji,pemasukan
token listrik bulan ini,tagihan,pengeluaran
dapat warisan ulang taahun,hadiah,pemasukan
gaji lembur bulan ini,gaji,pemasukan
dapat duit dari teman,hadiah,pemasukan
angsuran bulanan,tagihan,pengeluaran
beli es cendol,minuman,pengeluaran
jajan sego bareng keluarga,makanan,pengeluaran
warisan,hadiah,pemasukan
hadih doorprize kemarin,hadiah,pemasukan
obba buat kerja,minuman,pengeluaran
beli parfum di lazada,belanja,pengeluaran
makan pagi malam ini,makanan,pengeluaran
hadiaah lomba dari ortu,hadiah,pemasukan
stroom listrik tiap bulan,tagihan,pengeluaran
beli oat milk latte,minuman,pengeluaran
sewa lapangan,hiburan,pengeluaran
beli masker medis di guardian,kesehatan,pengeluaran
beli mnman yakult,minuman,pengeluaran
beli top up diamond,hiburan,pengeluaran
ngasih komisi makelar,tagihan,pengeluaran
brown sugar,minuman,pengeluaran
terima fee dari shopee,gaji,pemasukan
bayar asuransi jwa,tagihan,pengeluaran
minyak ikan,kesehatan,pengeluaran
beli steak di rumah makan,makanan,pengeluaran
beli paket data telkomel,tagihan,pengeluaran
bahan bakar,transport,pengeluaran
goride tadi,transport,pengeluaran
beli es kopi susu,minuman,pengeluaran
indriver pp,transport,pengeluaran
terima kdao daari keluarga,hadiah,pemasukan
nerima insentif dari gojek,gaji,pemasukan
tunjangan kinerja dari kantor,gaji,pemasukan
beli pulsa by.u,tagihan,pengeluaran
order teh botol,minuman,pengeluaran
income bulan ini,gaji,pemasukan
perpaanjang netflix,hiburan,pengeluaran
kirim fee ke klien,tagihan,pengeluaran
biaya tes darah,kesehatan,pengeluaran
cicilan motor tiap bulan,tagihan,pengeluaran
tiket nonton pertandingan,hiburan,pengeluaran
bayar mrt,transport,pengeluaran
dikash uang tak terduga,hadiah,pemasukan
bayar bpjs kesehatan tiap bulan,tagihan,pengeluaran
masuk gaji cair,gaji,pemasukan
medical check up,kesehatan,pengeluaran
ebli apotek di apotik,kesehatan,pengeluaran
nonton biosop weekend,hiburan,pengeluaran
membayar gaji tukang cash,tagihan,pengeluaran
byr ke grab honor,tagihan,pengeluaran
bayar thr asisten,tagihan,pengeluaran
menerima gaji bulanan,gaji,pemasukan
dikirimi uang dari ortu,hadiah,pemasukan
kirim bonus ke atasan,tagihan,pengeluaran
dapet fee tomoro,gaji,pemasukan
nerima insentif dari grab,gaji,pemasukan
nerima insentif dr gojek,gaji,pemasukan
belanja peralatan rumah,belanja,pengeluaran
dapet bonus perusahaan,gaji,pemasukan
beli perrban,kesehatan,pengeluaran
naik mobil,transport,pengeluaran
pesaan makan nasi bakar,makanan,pengeluaran
kereta cepat ke mall,transport,pengeluaran
beli kemeja di blibli,belanja,pengeluaran
top up tkoen bulanan,hiburan,pengeluaran
beli jaket di supermarket,belanja,pengeluaran
asuransi kesehatan,tagihan,pengeluaran
citilink ke bali,transport,pengeluaran
kasih komisi ke agen,tagihan,pengeluaran
pesan ayam penyet,makanan,pengeluaran
bayyar kos bulan lalu,tagihan,pengeluaran
dapat duit dari saudara,hadiah,pemasukan
menerima upah lemubr,gaji,pemasukan
daat smubangan tak terduga,hadiah,pemasukan
obat batuk bulanan,kesehatan,pengeluaran
bayar kredit buln ini,tagihan,pengeluaran
etoll,transport,pengeluaran
diterima uah proyek,gaji,pemasukan
sepatu shope,belanja,pengeluaran
cashback gopay dr tante,hadiah,pemasukan
bayar bayaran ke tomoro coffee,tagihan,pengeluaran
nerima komisi penjualan dari klien,gaji,pemasukan
naik busway,transport,pengeluaran
rezeki nmomplok dr saudara,hadiah,pemasukan
kado uang dr teman,hadiah,pemasukan
dapet penghasilan bulanan,gaji,pemasukan
byr honor ke klien,tagihan,pengeluaran
naik kereta cepat,transport,pengeluaran
fried chicken bareng teman,makanan,pengeluaran
beli apotek di apotik,kesehatan,pengeluaran
bayar check up,kesehatan,pengeluaran
nerima uang lembur,gaji,pemasukan
kasih gaji karyawan,tagihan,pengeluaran
es kopi susu take away,minuman,pengeluaran
belanja family maart,belanja,pengeluaran
gaji harian ke rekening,gaji,pemasukan
beli headset,belanja,pengeluaran
bayar token pln bulan allu,tagihan,pengeluaran
indriver barusan,transport,pengeluaran
karaoke smaa pacar,hiburan,pengeluaran
menerima bonus kinerja,gaji,pemasukan
makan batagor,makanan,pengeluaran
pesan ayam goreng,makanan,pengeluaran
cashback gopay dr sudara,hadiah,pemasukan
jus mangga sore tadi,minuman,pengeluaran
beli paracetamol di apottik,kesehatan,pengeluaran
beli di yoshinoya,makanan,pengeluaran
frappuccino di kafe,minuman,pengeluaran
ngopi di xing fu tang,minuman,pengeluaran
warisan dai otru,hadiah,pemasukan
reward aplikasi dari om,hadiah,pemasukan
jajan sate padang,makanan,pengeluaran
kereta api ke gym,transport,pengeluaran
gaji part time bulan lalu,gaji,pemasukan
pkaet data indsoat,tagihan,pengeluaran
beri bonus karyawan bulan ini,tagihan,pengeluaran
nerima uaph,gaji,pemasukan
gaji magang dari kantor,gaji,pemasukan
minum es jeruk,minuman,pengeluaran
makan nasi ayam di food court,makanan,pengeluaran
pizza,makanan,pengeluaran
bayar komisi proyek ke kantor,tagihan,pengeluaran
sate kambing siang tadi,makanan,pengeluaran
rawon bareng keluarga,makanan,pengeluaran
dapat bonus klien,gaji,pemasukan
mkn di mkn siang,makanan,pengeluaran
upah kerja dari proyek,gaji,pemasukan
minimarket,belanja,pengeluaran
sriwijaya ke medan,transport,pengeluaran
dapet slip gaji,gaji,pemasukan
nonton bola bareng keluaga,hiburan,pengeluaran
tagihan listrik bulan ini,tagihan,pengeluaran
orrder kopi susu,minuman,pengeluaran
beli celana di supermarket,belanja,pengeluaran
bayar first media,tagihan,pengeluaran
nasi uduk bareng keluarga,makanan,pengeluaran
transfer fee tomoro,tagihan,pengeluaran
belanja di belanja alfamart,belanja,pengeluaran
byr indihome bulanan,tagihan,pengeluaran
terima thr darri tante,hadiah,pemasukan
uang lembur dari bos,gaji,pemasukan
sewa rumah,tagihan,pengeluaran
pertalite motor,transport,pengeluaran
tempe goreng malam ini,makanan,pengeluaran
bayar honor ke klien,tagihan,pengeluaran
soda,minuman,pengeluaran
gofood nasi goreng,makanan,pengeluaran
transfer ke kantor bonus,tagihan,pengeluaran
naik taksi ke gym,transport,pengeluaran
pepsi,minuman,pengeluaran
naik grab bike ke kampus,transport,pengeluaran
periksa cabut gigi,kesehatan,pengeluaran
bayar iuran keamanan tiap bulan,tagihan,pengeluaran
bpjs mandiri tiap bulan,tagihan,pengeluaran
pesan minuman matcha,minuman,pengeluaran
terima gaji pokok,gaji,pemasukan
byr biaya operasi,kesehatan,pengeluaran
beli minuman es jeruk,minuman,pengeluaran
masuk komisi dari bos,gaji,pemasukan
nonton bioskop rmae-rame,hiburan,pengeluaran
daapt duit dari tante,hadiah,pemasukan
kirim gaji freelancer,tagihan,pengeluaran
beli dagging di supermarket,belanja,pengeluaran
transfer bonus ke starbucks,tagihan,pengeluaran
sewa baddminton,hiburan,pengeluaran
bayar frist media bulan lalu,tagihan,pengeluaran
asuransi jiwa bulanan,tagihan,pengeluaran
reward dari saudara,hadiah,pemasukan
bayar listrik bulanan,tagihan,pengeluaran
dapet bayaran dari klien,gaji,pemasukan
nasi bakar di food court,makanan,pengeluaran
beli tripod di supermraket,belanja,pengeluaran
naik maxim car ke pasar,transport,pengeluaran
kebun binatang ke jogja,hiburan,pengeluaran
ngopi cappuccino,minuman,pengeluaran
masuk komisi dari perusahaan,gaji,pemasukan
yakult di cafe,minuman,pengeluaran
tagihan air bulanan,tagihan,pengeluaran
mkn spaghetti,makanan,pengeluaran
bayar imunisasi,kesehatan,pengeluaran
whoosh,transport,pengeluaran
menang giveaway dari keluarga,hadiah,pemasukan
beli tisssue di supermarket,belanja,pengeluaran
maxim car ke kampus,transport,pengeluaran
hibah lebaaarn,hadiah,pemasukan
daapt duit,hadiah,pemasukan
topi shopee,belanja,pengeluaran
dapat komisi,gaji,pemasukan
minuman kekinian,minuman,pengeluaran
biaya sewa sepeda,hiburan,pengeluaran
byar stroom listrik tiap bulan,tagihan,pengeluaran
