title,category,secondary_category,type
naik angkot,transport,umum,pengeluaran
konsultasi tambal gigi,kesehatan,prosedur,pengeluaran
pesan masker medis di rumah,kesehatan,obat,pengeluaran
langganan belanja tokopedia bareng teman,belanja,online_shop,pengeluaran
beli charger di alfamart,belanja,elektronik,pengeluaran
jajan pecel ayam di warteg,makanan,makanan,pengeluaran
kado pernikahn teman sama temen,hadiah,kado,pemasukan
service mobil,transport,transport,pengeluaran
transfer komisi reseller,tagihan,gaji_pihak3,pengeluaran
naik busway ke terminal,transport,umum,pengeluaran
kaos blilbi,belanja,fashion,pengeluaran
pesan makan rendang,makanan,makanan,pengeluaran
diterima komisi dari mitra bisnis,gaji,komisi,pemasukan
byr ke atasan honor,tagihan,tagihan,pengeluaran
pesan busway rutin,transport,umum,pengeluaran
diterima tip pelanggan bareng teman,hadiah,reward,pemasukan
nerima komisi dr klien,gaji,komisi,pemasukan
gajian upah pekejra,tagihan,tagihan,pengeluaran
hp samsung via transfer,belanja,elektronik,pengeluaran
perpanjang tamabl gigi diskon,kesehatan,prosedur,pengeluaran
order citilink ke surabaya diskon,transport,pesawat,pengeluaran
ambil bpjs bulanan minggu ini,tagihan,asuransi,pengeluaran
dapat bayaran dari perusahaan,gaji,gaji,pemasukan
beliin makan mbak,makanan,makanan,pengeluaran
ambil bayar air braeng keluarga,tagihan,utilitas,pengeluaran
terima tip jol tiap bulan,hadiah,reward,pemasukan
iuran keamanan pagi tadi,tagihan,iuran,pengeluaran
langganan ewekend fun tadi,hiburan,hiburan,pengeluaran
transferkan ke rek teman,tagihan,tagihan,pengeluaran
subscribe hangout teman tiap bulan,hiburan,hiburan,pengeluaran
naik mrt pulang,transport,umum,pengeluaran
bayar fee ke kantor,tagihan,gaji_pihak3,pengeluaran
order masker wajah bulan lalu,belanja,kecantikan,pengeluaran
pesan menantea,minuman,minuman,pengeluaran
pemasukan gaji dari proyek,gaji,gaji,pemasukan
maxim ke sekolah,transport,online,pengeluaran
bayr uang kos,tagihan,sewa,pengeluaran
langganan disney plus,hiburan,streaming,pengeluaran
perpanjang tripod kamera tadi,belanja,elektronik,pengeluaran
terima komisi dari mitra bisnis,gaji,komisi,pemasukan
dapat hadiah undian bank bareng teman,hadiah,undian,pemasukan
masuk hadiah ulang tahun ayah bulan ini,hadiah,kado,pemasukan
biaya service motor,transport,transport,pengeluaran
kirim ke gaji pegawai tunai,tagihan,tagihan,pengeluaran
perpanjang biaya bberobat tiap bulan,kesehatan,kesehatan,pengeluaran
ambil belanja umum rutin,belanja,belanja,pengeluaran
terima thr lebaran di kantor,gaji,bonus,pemasukan
isi angkot di rumah,transport,umum,pengeluaran
h&m,belanja,harian,pengeluaran
beli viva apotek baru,kesehatan,apotek,pengeluaran
grocery,belanja,belanja,pengeluaran
isi solar,transport,pribadi,pengeluaran
beli konsul psikolog rutin,kesehatan,konsul,pengeluaran
watosn langganan,kesehatan,kesehatan,pengeluaran
hibh lebaran,hadiah,hadiah,pemasukan
cashback sohpee ulang tahun,hadiah,reward,pemasukan
order belanja shopee promo,belanja,online_shop,pengeluaran
ngambil susu indomilk cash,minuman,minuman,pengeluaran
langganan tikeet xxi bulan lalu,hiburan,tontonan,pengeluaran
pesan flashdisk 64gb di kantor,belanja,elektronik,pengeluaran
langganan fee vendor tadi,tagihan,gaji_pihak3,pengeluaran
biya imunisasi,kesehatan,prosedur,pengeluaran
isi main main malam ini,hiburan,hiburan,pengeluaran
ngambil ojol baru,transport,online,pengeluaran
menang lomba menulis rutin,hadiah,undian,pemasukan
langganan konsultasi dokter umum bareng teman,kesehatan,konsul,pengeluaran
naik maxim soore,transport,online,pengeluaran
menerima gaji kontrak bulan lalu,gaji,gaji,pemasukan
kirim komisi ke rekanan,tagihan,gaji_pihak3,pengeluaran
beli sabun di shopee,belanja,online_shop,pengeluaran
subscribe pulsa telkomsel diskon,tagihan,internet_pulsa,pengeluaran
kasih komisi ke referrer,tagihan,gaji_pihak3,pengeluaran
amibl bayar kredit bulan ini bulan lalu,tagihan,kredit,pengeluaran
subscribe brown sugar boba kemarin,minuman,jajanan,pengeluaran
sriwijaya ke bali,transport,pesawat,pengeluaran
dapat kado daari saudara,hadiah,kado,pemasukan
makeup blibbli,belanja,kecantikan,pengeluaran
takeaway marugame,makanan,makanan,pengeluaran
perpanjang billiard bareng teman baru,hiburan,aktivitas,pengeluaran
langganan call of duty mobile cash,hiburan,game,pengeluaran
rumah sakt,kesehatan,kesehatan,pengeluaran
ebli roblox,hiburan,hiburan,pengeluaran
ambil biaya berobat smaa temen,kesehatan,kesehatan,pengeluaran
ngambil sandal swallow bareng teman,belanja,fashion,pengeluaran
ngopi kopi tubruk,minuman,jajanan,pengeluaran
cashback shopee daari saudara,hadiah,reward,pemasukan
isi transjaarta bulan ini,transport,umum,pengeluaran
ngambil plusa indosat cash,tagihan,internet_pulsa,pengeluaran
langganan yoga kelas tiap bulan,hiburan,aktivitas,pengeluaran
celana,belanja,fashion,pengeluaran
ecg,kesehatan,prosedur,pengeluaran
bayar air bulanan,tagihan,tagihan,pengeluaran
kirim ke honor narasumber,tagihan,gaji_pihak3,pengeluaran
pesan minuman es teh manis,minuman,jajanan,pengeluaran
beli skincare,belanja,kecantikan,pengeluaran
bayar taro snack bulan lalu,makanan,jajanan,pengeluaran
isi periksa ke dokter diskon,kesehatan,konsul,pengeluaran
ngambil mobile legends diamond di rumah,hiburan,game,pengeluaran
renang,hiburan,aktivitas,pengeluaran
pesan perpanjang streaming rutin,hiburan,streaming,pengeluaran
bayar smartfren bulanan bareng keluarga,tagihan,internet_pulsa,pengeluaran
belanja di lottemart,belanja,belanja,pengeluaran
bli di kopi kenangan,minuman,minuman,pengeluaran
reward dari saudara,hadiah,reward,pemasukan
perpanjang shawarma baru,makanan,makanan,pengeluaran
bayar kredit bulan ini ublan lalu,tagihan,kredit,pengeluaran
diterima komisi dari project,gaji,komisi,pemasukan
skincare somethiinc pagi tadi,belanja,kecantikan,pengeluaran
ngambil rumah sakit periksa bareng keluarga,kesehatan,konsul,pengeluaran
blue bird ke kampus,transport,umum,pengeluaran
mie rebus bareng teman,makanan,makanan,pengeluaran
sembako di supermarket,belanja,harian,pengeluaran
ngambil foundation maybelline bulan lalu,belanja,kecantikan,pengeluaran
komisi kepada referrer,tagihan,gaji_pihak3,pengeluaran
terima hadiah keamrin,hadiah,hadiah,pemasukan
makan malam di cfc,makanan,makanan,pengeluaran
dokter,kesehatan,konsul,pengeluaran
terima tip pelanggan bareng teman,hadiah,reward,pemasukan
langganan valorant point rutin,hiburan,game,pengeluaran
angkot tadi,transport,umum,pengeluaran
beli skincare somethinc kemarin,belanja,kecantikan,pengeluaran
tiket festival,hiburan,liburan,pengeluaran
transfer dari kakak,hadiah,hadiah,pemasukan
ke usg,kesehatan,prosedur,pengeluaran
terima tunjangan transport minggu ini,gaji,bonus,pemasukan
dapet fee dari tokoepdia,gaji,komisi,pemasukan
bayar ciciln,tagihan,kredit,pengeluaran
kirim ke honor pembicara mingguaan,tagihan,tagihan,pengeluaran
isi garuda indonesia pagi tadi,transport,pesawat,pengeluaran
ngasiih bonus karyawan,tagihan,gaji_pihak3,pengeluaran
langganan prime video bulan lalu,hiburan,streaming,pengeluaran
kirimkan ke kakak,tagihan,tagihan,pengeluaran
panjat tebing,hiburan,aktivitas,pengeluaran
dapet honor kerja,gaji,komisi,pemasukan
terima bonus kinerja,gaji,bonus,pemasukan
es jeruk,minuman,jajanan,pengeluaran
bayar shopee live malam ini,belanja,online_shop,pengeluaran
transfer koomisi penjualan ke bos,tagihan,tagihan,pengeluaran
peranjang iuran keamanan tadi,tagihan,iuran,pengeluaran
dapat komisi dari marketplace,gaji,komisi,pemasukan
transfer insentif ke tomorro coffee,tagihan,tagihan,pengeluaran
menerima hadiah dari atasan kemarin,hadiah,hadiah,pemasukan
buku tokpedia,belanja,harian,pengeluaran
dapat thr ulang tahun,hadiah,hadiah,pemasukan
beli aicha,minuman,minuman,pengeluaran
subscribe asuransi mobil bareng teman,tagihan,asuransi,pengeluaran
bayarkan ke kakak,tagihan,tagihan,pengeluaran
bayar blibli sale pagi tadi,belanja,online_shop,pengeluaran
subscribe lion air ke jakarta kemarin,transport,pesawat,pengeluaran
penghasilan bulan ini,gaji,gaji,pemasukan
kirim ke gaji asisten bulan ini,tagihan,gaji_pihak3,pengeluaran
bayar listrik pln bareng keluarga,tagihan,utilitas,pengeluaran
beli di gacoan,makanan,makanan,pengeluaran
ngambil scaling gigi baru,kesehatan,prosedur,pengeluaran
ayam kremes siang tadi,makanan,makanan,pengeluaran
cashback goapy ulang tahun,hadiah,reward,pemasukan
dikasih makan sama teman,hadiah,hadiah,pemasukan
steak siaang tadi,makanan,makanan,pengeluaran
beli lipstik mac di rumah,belanja,kecantikan,pengeluaran
bayar tagihan bulan lalu,tagihan,tagihan,pengeluaran
isi belanja online umum pagi tadi,belanja,belanja,pengeluaran
bayar honor ke tomoro coffee,tagihan,tagihan,pengeluaran
langganan disney plus bulanan,hiburan,streaming,pengeluaran
isi kopi taro baren keluarga,minuman,jajanan,pengeluaran
sanndal blibli,belanja,fashion,pengeluaran
kado pernikahan teman cash,hadiah,kado,pemasukan
peralatan dapur,belanja,harian,pengeluaran
milk tea,minuman,jajanan,pengeluaran
cinema xxi rame-rmae,hiburan,tontonan,pengeluaran
traktir makan teman kantr,makanan,makanan,pengeluaran
langganan bayar tukang ojek bulan ini,transport,transport,pengeluaran
ngambil bengkel motor di kantor,transport,pribadi,pengeluaran
pesan konser musik baru,hiburan,tontonan,pengeluaran
bayar tambal gigi,kesehatan,prosedur,pengeluaran
ngisi bensin motr,transport,pribadi,pengeluaran
beli sampo di supemarket,belanja,kecantikan,pengeluaran
makan siang di mie gacoan,makanan,makanan,pengeluaran
beli yoga kelsa cash,hiburan,aktivitas,pengeluaran
isi tambal ban bulan lalu,transport,pribadi,pengeluaran
perpanjang kopi hitam kemarin,minuman,jajanan,pengeluaran
ssubscribe genshin impact top up bareng teman,hiburan,game,pengeluaran
ambil operasi kecil bareng teman,kesehatan,prosedur,pengeluaran
bayar citilink ke surabaya rutin,transport,pesawat,pengeluaran
ngambil bayar listrik pln pagi tadi,tagihan,utilitas,pengeluaran
ebli masker di guardian,kesehatan,apotek,pengeluaran
jajan di texas chicken,makanan,makanan,pengeluaran
beli di janji jiwa,minuman,jajanan,pengeluaran
beli mainan di mall,belanja,harian,pengeluaran
isi bayar cicilan motor rutin,tagihan,kredit,pengeluaran
naik bus ke bengkel,transport,umum,pengeluaran
meenrima income,gaji,gaji,pemasukan
masuk insentif dari tomoro,gaji,bonus,pemasukan
baayar kesehatan umum malam ini,kesehatan,kesehatan,pengeluaran
isi hero supermarket bulan lalu,belanja,harian,pengeluaran
salary ciar,gaji,gaji,pemasukan
nasi campur di kantor,makanan,makanan,pengeluaran
ayam penyet bareng teeman,makanan,makanan,pengeluaran
bayar cinepolis rutin,hiburan,tontonan,pengeluaran
top up ml bareng keluarga,hiburan,game,pengeluaran
es cendol,minuman,jajanan,pengeluaran
ambil beli barang malam ini,belanja,belanja,pengeluaran
iuran smpah tiap ublan,tagihan,iuran,pengeluaran
pesan makan sate padang di restoran,makanan,makanan,pengeluaran
bayar tagihan air bulan lalu,tagihan,utilitas,pengeluaran
ekmeja blibli,belanja,online_shop,pengeluaran
token pln tiap bulan,tagihan,utilitas,pengeluaran
bayar tes covid,kesehatan,kesehatan,pengeluaran
subscribe bayar parkir mobil malam ini,transport,pribadi,pengeluaran
fee komisi dari tokopedia,gaji,komisi,pemasukan
traktir kopi tetangga,minuman,minuman,pengeluaran
terima komisi penjualan dari bos,gaji,komisi,pemasukan
ambil steam wallet sama temen,hiburan,game,pengeluaran
cold berw di starbucks,minuman,jajanan,pengeluaran
subscribe skincare somethinc minggu ini,belanja,kecantikan,pengeluaran
bayar pdam bulanan minggu ini,tagihan,utilitas,pengeluaran
perpanjang uc pub bareng keluarga,hiburan,game,pengeluaran
diterima cashback dana minggu ini,hadiah,reward,pemasukan
isi spbu hell diskon,transport,pribadi,pengeluaran
order suplemen vitamin c barng keluarga,kesehatan,obat,pengeluaran
sudah terima gaji magang,gaji,gaji,pemasukan
beli laptop baru,belanja,elektronik,pengeluaran
tagihan air bulanan,tagihan,utilitas,pengeluaran
beli aksesoris hp,belanja,elektronik,pengeluaran
bonus komisi dari kantor,gaji,bonus,pemasukan
pesan opor ayam,makanan,makanan,pengeluaran
ketupat di kanttor,makanan,makanan,pengeluaran
ambil mobile legends diamond miggu ini,hiburan,game,pengeluaran
komisi dari referral,gaji,komisi,pemasukan
order es jeruk,minuman,jajanan,pengeluaran
ppesan bedak pixy cash,belanja,kecantikan,pengeluaran
beli probiotik di apotek,kesehatan,apotek,pengeluaran
menantea,minuman,jajanan,pengeluaran
masuk honor starbucks,gaji,komisi,pemasukan
beli bpjs bulanan di kantor,tagihan,asuransi,pengeluaran
menerima menang giveaway tkopedia rutin,hadiah,undian,pemasukan
perpanjang bayar kos bulanan bareng teman,tagihan,sewa,pengeluaran
subscribe sewa kos depok tiap bulan,tagihan,sewa,pengeluaran
menerima gaji via transfer via transfer,gaji,gaji,pemasukan
beli di suhi tei,makanan,makanan,pengeluaran
sabun blibli,belanja,online_shop,pengeluaran
dapet fee grab,gaji,komisi,pemasukan
mie ayam pagi tadi,makanan,makanan,pengeluaran
beli parfum bath body works diskon,belanja,kecantikan,pengeluaran
imunisasi anak bareng teman,kesehatan,prosedur,pengeluaran
langganan kredit elektronik akulaku via transfer,tagihan,kredit,pengeluaran
subscribe naik angkot di rumah,transport,transport,pengeluaran
udang di rumah mkaan,makanan,makanan,pengeluaran
ngambil renang kolam kemarin,hiburan,aktivitas,pengeluaran
order biaya berobat tiap bulan,kesehatan,kesehatan,pengeluaran
order kesehatan umum bareng keluarga,kesehatan,kesehatan,pengeluaran
ngambil tambal ban malam ini,transport,pribadi,pengeluaran
ngambil belanja umum romo,belanja,belanja,pengeluaran
dapat warrisan tadi,hadiah,hadiah,pemasukan
isi buah jeruk pagi tadi,belanja,harian,pengeluaran
langganan blibli sale diskon,belanja,online_shop,pengeluaran
dapat komisi dari penjualan,gaji,komisi,pemasukan
minum kopi,minuman,jajanan,pengeluaran
kemeja,belanja,fashion,pengeluaran
jalan-jalan sama teman,hiburan,hiburan,pengeluaran
beli kas di uspermarket,belanja,belanja,pengeluaran
delivery hachi hachi,makanan,makanan,pengeluaran
dibeliin jajan sama kakek,hadiah,hadiah,pemasukan
subscribe bayar bpjs kesehatan cash,tagihan,asuransi,pengeluaran
oat milk,minuman,jajanan,pengeluaran
langganan beli obat di kimia farma bareng teman,kesehatan,apotek,pengeluaran
diterima menang giveaway tokopedia sama temen,hadiah,undian,pemasukan
bayar tagihan,tagihan,tagihan,pengeluaran
isi wahana anncol tadi,hiburan,liburan,pengeluaran
kasih ke karyawan,tagihan,tagihan,pengeluaran
grabcar ke gym,transport,online,pengeluaran
subscribe biaya kesehatan bareng keluarga,kesehatan,kesehatan,pengeluaran
kereta cepat ke mall,transport,umum,pengeluaran
kasih upah karawan,tagihan,tagihan,pengeluaran
order bayar kos bulanan baru,tagihan,sewa,pengeluaran
diterima bonus tahunan,gaji,bonus,pemasukan
nerima fee dari bos,gaji,komisi,pemasukan
fee freelance cair,gaji,komisi,pemasukan
ngambil stroom 50rb cash,tagihan,utilitas,pengeluaran
subscrribe transjakarta di rumah,transport,umum,pengeluaran
dapet bayaran dari akntor,gaji,gaji,pemasukan
bayar ausransi kesehatan,tagihan,tagihan,pengeluaran
bayar bengkel mobil bulan lalu,transport,pribadi,pengeluaran
kuota,tagihan,internet_pulsa,pengeluaran
pesan celana chino bareng teman,belanja,fashion,pengeluaran
bayar vaksinaasi,kesehatan,prosedur,pengeluaran
transfer komisi ke distributor,tagihan,gaji_pihak3,pengeluaran
konsultasi dookter,kesehatan,konsul,pengeluaran
bayar tiket pesawat lion bulan ini,transport,pesawat,pengeluaran
ngambil token pln 100rb pagi tadi,tagihan,utilitas,pengeluaran
bayar langganan internet tiap bulan,tagihan,tagihan,pengeluaran
grab motor sore,transport,online,pengeluaran
ambil isi pulsa taid,tagihan,internet_pulsa,pengeluaran
bengkel,transport,pribadi,pengeluaran
masuk bayaran dari shopee,gaji,gaji,pemasukan
order viu premium bareng teman,hiburan,streaming,pengeluaran
nik maxim ke stasiun,transport,online,pengeluaran
bonus keja,gaji,bonus,pemasukan
order teh hijau,minuman,jajanan,pengeluaran
masuk kado dari ortu bulan lalu,hadiah,kado,pemasukan
perpanjang pakaian dalam bareng keluarga,belanja,fashion,pengeluaran
subscribe zalora flash sale cash,belanja,online_shop,pengeluaran
maxim car malam,transport,online,pengeluaran
uang warisan tak terduga,hadiah,pemberian_masuk,pemasukan
penghasilan dari perusahaan,gaji,gaji,pemasukan
perpanjang puskesmas terdekat bulan lalu,kesehatan,konsul,pengeluaran
bayar aqua botol bareng keluarga,minuman,minuman,pengeluaran
beli di food court,makanan,makanan,pengeluaran
ngambil tagihan air pdam di rumah,tagihan,utilitas,pengeluaran
beli viatmin di guardian,kesehatan,apotek,pengeluaran
langgann olahraga,hiburan,aktivitas,pengeluaran
perpanjang youtube premium,hiburan,hiburan,pengeluaran
ngasih gaji freelancer,tagihan,gaji_pihak3,pengeluaran
ban obil bulan lalu,transport,pribadi,pengeluaran
isi k24 langgganan bareng teman,kesehatan,apotek,pengeluaran
bayar shopee 11 11,belanja,online_shop,pengeluaran
naik grb motor,transport,online,pengeluaran
smoothie,minuman,jajanan,pengeluaran
langganan allianz bulanan via transfer,tagihan,asuransi,pengeluaran
kasih bayaran ke tomoro,tagihan,tagihan,pengeluaran
beli telur,belanja,belanja,pengeluaran
gaji lembur,gaji,komisi,pemasukan
beli vaksin influezna bulan lalu,kesehatan,prosedur,pengeluaran
isi minimarket alfamart sama temen,belanja,harian,pengeluaran
subscribe asuransi motor baru,tagihan,asuransi,pengeluaran
dapat gaji dr proyek,gaji,gaji,pemasukan
weekend fun bulan lalu,hiburan,hiburan,pengeluaran
isi shopee 11 11 cash,belanja,online_shop,pengeluaran
langanan masker wajah tadi,belanja,kecantikan,pengeluaran
wairsan dari tante,hadiah,pemberian_masuk,pemasukan
beli martabak manis bareng keluarga,makanan,jajanan,pengeluaran
sewa kamar bulan lalu,tagihan,tagihan,pengeluaran
terima tunjangan transport bulan ini,gaji,bonus,pemasukan
langganan nonton feestival film sama temen,hiburan,tontonan,pengeluaran
langganan paintball arena tiap bluan,hiburan,aktivitas,pengeluaran
dapat kado dari saaudara,hadiah,kado,pemasukan
super air jet ke makassar,transport,transport,pengeluaran
ambil asuransi pendidikan bulan lallu,tagihan,asuransi,pengeluaran
beli kamera di bukalapak,belanja,elektronik,pengeluaran
tagihaan air,tagihan,tagihan,pengeluaran
gaji pegawai dari perusahaan,gaji,gaji,pemasukan
dapat duit drai tante,hadiah,pemberian_masuk,pemasukan
sabun bliblli,belanja,harian,pengeluaran
beli barang di rumah,belanja,belanja,pengeluaran
laangganan bowling,hiburan,aktivitas,pengeluaran
bayar hiiburan baru,hiburan,hiburan,pengeluaran
belanja alat tulis,belanja,harian,pengeluaran
konsultasi periksa dokter,kesehatan,konsul,pengeluaran
beliin makanan sahabat,makanan,makanan,pengeluaran
makan di geprek bensu siang tadi,makanan,makanan,pengeluaran
dapet fee dari perusahaan,gaji,komisi,pemasukan
dapat cashback dr keluarga,hadiah,reward,pemasukan
xiaomi,belanja,harian,pengeluaran
cinema sama teman,hiburan,tontonan,pengeluaran
dapet tip dari teman tiap bulan,hadiah,reward,pemasukan
beli asuransi mobil diskon,tagihan,asuransi,pengeluaran
sushi di kantor,makanan,makanan,pengeluaran
daapt ahdiah,hadiah,hadiah,pemasukan
ebli cgv,hiburan,tontonan,pengeluaran
ngambil skincare somethinc baru,belanja,kecantikan,pengeluaran
bakso urat di kantin,makanan,makanan,pengeluaran
subscribe karaoke inl vizta tiap bulan,hiburan,aktivitas,pengeluaran
bayar tambal gigi bareng teman,kesehatan,prosedur,pengeluaran
dapet fee,gaji,komisi,pemasukan
masuk dari kakak,hadiah,hadiah,pemasukan
subscribe iuran warga via transfer,tagihan,iuran,pengeluaran
ngambil lazada live sama temen,belanja,online_shop,pengeluaran
ambil bayar tukang angkot,transport,transport,pengeluaran
perpanjang shopee 11 11 promo,belanja,online_shop,pengeluaran
beli iuprofen,kesehatan,kesehatan,pengeluaran
transfer komisi proyek ke gojek,tagihan,gaji_pihak3,pengeluaran
bayar tuknag angkot bulan lalu,transport,transport,pengeluaran
ngambil konsultasi spesialis rutin,kesehatan,konsul,pengeluaran
ngambil air kelapa tadi,minuman,minuman,pengeluaran
dapet bayaran dr vendor,gaji,gaji,pemasukan
dikirim dari tante,hadiah,hadiah,pemasukan
pesan bnus karyawan bulan lalu,tagihan,gaji_pihak3,pengeluaran
dapat hadiah pernikahan saudara bareng teman,hadiah,kado,pemasukan
premi asuransi jiwa bulan ini,tagihan,asuransi,pengeluaran
pesan rapid test antigen cash,kesehatan,prosedur,pengeluaran
